CPT Code,CPT Description
24400,Incision to repair upper arm bone
24420,Reconstruction of upper arm bone
24500,Closed treatment of upper arm fracture
24516,Treatment of broken upper arm bone
24650,Closed treatment of broken forearm bone at elbow
25000,Incision to repair tendon covering at wrist
25020,Incision of tissue of forearm and/or wrist muscle compartment
25028,Drainage of abscess or blood accumulation at forearm and/or wrist
25040,Drainage or removal of foreign body of wrist joint
25065,Biopsy of tissue of forearm and/or wrist
25066,Biopsy of tissue of forearm and/or wrist
25071,Removal (3 centimeters or greater) tissue growth beneath the skin at forearm and/or wrist
25073,Removal (3 centimeters or greater) muscle growth at forearm and/or wrist
25075,Removal (less than 3 centimeters) tissue growth beneath the skin at forearm and/or wrist
25076,Removal (less than 3 centimeters) muscle growth at forearm and/or wrist
25078,Removal (3 centimeters or greater) tissue growth at forearm and/or wrist
25085,Incision to repair wrist joint
25101,Incision and exploration of wrist joint
25105,Incision to repair wrist joint
25111,Removal of cyst at wrist
25115,Removal of fluid-filled sac (bursa) of wrist joint lining or forearm tendon
25116,Removal of fluid-filled sac (bursa) of wrist joint lining or forearm tendon
25118,Removal of lining of tendon covering of wrist
25130,Removal of wrist bone cyst or growth
25210,Removal of wrist bone
25230,Partial removal of wrist bone
25240,Partial removal of forearm bone
25246,Injection of dye for X-ray imaging of wrist joint
25260,Repair of tendon or muscle of forearm and/or wrist
25280,Lengthening or shortening of tendon of forearm and/or wrist
25290,"Incision of tendon of forearm and/or wrist, open procedure"
25295,Removal of scar tissue of tendon of forearm and/or wrist
25300,Anchoring of tendon of fingers to wrist bone
25301,Anchoring of tendon of fingers to wrist bone
25310,Relocation of tendon of forearm and/or wrist
25312,Relocation of tendon of forearm and/or wrist with grafts
25320,"Repair of wrist joint, open procedure"
25337,Repair of tendons of outer forearm at wrist joint
25394,Shortening of bone of wrist
25445,Removal of wrist bone
25447,Removal of bone joints between wrist and fingers
25490,Stabilization of forearm bone
25500,Closed treatment of broken forearm bone
25526,Open treatment of broken forearm bone
25600,Closed treatment of broken forearm bones
25605,Closed treatment of broken or growth plate separate of forearm bone at wrist with manipulation
25606,"Insertion of hardware to lower forearm bone broken or growth plate separation, accessed through the skin"
25607,Open treatment of broken of lower forearm bone or growth plate separation with insertion of hardware
25608,Open treatment of broken of lower forearm or growth plate separation with insertion of hardware of 2 fragments
25609,Open treatment of broken of lower forearm or growth plate separation with insertion of hardware 3 or more fragments
25651,"Insertion of hardware broken bone of forearm at wrist, accessed through the skin"
25670,Open treatment of dislocated 1 or more wrist joint bones
25825,Fusion of part of wrist joint with patient-derived bone graft
25999,Lower arm or wrist procedure
26010,Drainage of finger abscess
26011,Drainage of finger abscess
26020,Drainage of tendon of finger and/or palm
26037,Incision of tissues of hand
26040,"Release of tissues of palm, accessed through the skin"
26045,"Partial release of tissues of palm, open procedure"
26055,Incision of tendon covering
26060,"Incision of finger tendon, accessed through the skin"
26080,"Exploration, drainage, or removal of foreign body of hand joint"
26111,Removal (1.5 centimeters or greater) tissue beneath the skin growth of hand or finger
26113,Removal (1.5 centimeters or greater) muscle growth of hand or finger
26115,Removal (less than 1.5 centimeters) tissue beneath the skin growth of hand or finger
26116,Removal (less than 1.5 centimeters) muscle growth of hand or finger
26117,Removal (less than 3 centimeters) tissue growth of hand or finger
26121,Removal of tissue of palm
26123,Removal of tissue of palm
26125,Removal of tissue of palm
26130,Repair of wrist joint
26140,Repair of finger joint
26145,"Repair of tendon, finger and/or hand"
26160,Removal of growth of tendon finger or hand
26170,Removal of tendon of palm
26180,Removal of tendon of finger
26210,Removal or scraping of finger bone cyst or growth
26230,Partial removal of hand bone
26235,Partial removal of finger bone
26236,Partial removal of finger bone
26340,Manipulation of finger joint under anesthesia
26341,Manipulation of palm pretendinous cord following enzyme injection
26418,Repair of finger tendon
26426,Repair of finger tendon using tissue
26437,Repair of finger tendon
26440,Removal of scar tissue to release tendon of palm or finger
26442,Removal of scar tissue to release tendon of palm and finger
26445,Removal of scar tissue to release tendon of palm or finger
26450,"Incision of tendon of palm, open procedure"
26460,"Incision of tendon of hand or finger, open procedure"
26476,Lengthening of tendon of hand or finger
26480,Transplant of tendon of hand
26483,Transplant of tendon of hand
26485,Transplant of tendon to palm
26489,Transplant of tendon to palm
26516,Repair of joint capsule of hand and finger
26525,"Repair of joint capsule, hand and finger"
26535,Repair of finger joint
26536,Repair of finger joint
26540,Repair of ligament of hand or finger joint
26542,Repair of ligament of hand or finger joint
26545,Repair of ligament of hand or finger joint
26568,Lengthening of hand or finger bone
26593,Release of hand muscle
26600,Closed treatment of fracture hand bone
26650,"Insertion of hardware to broken thumb with manipulation, accessed through the skin"
26705,Closed treatment of dislocated hand joint with manipulation under anesthesia
26720,Closed treatment of broken finger or thumb
26740,Closed treatment of broken hand or finger
26746,Open treatment of broken hand or finger
26750,Closed treatment of broken finger or thumb
26775,Closed treatment of dislocated finger joint with manipulation under anesthesia
26842,Fusion of thumb at wrist with bone graft
26850,Fusion of finger joint
26860,Fusion of finger joint
26951,Amputation of finger or thumb
26989,Hand or finger procedure
26990,Drainage of abscess or blood accumulation in pelvis or hip joint
26992,Incision of pelvis and/or hip joint bone
27000,"Incision of hip tendon, accessed through the skin"
27001,"Incision of hip tendon, open procedure"
27005,"Incision of hip tendons, open procedure"
27006,"Incision of hip tendons, open procedure"
27025,Incision of tissues of hip or thigh
27027,Incision of tissue of muscle compartments of one side of pelvis
27030,Incision of hip joint with drainage
27033,Incision of hip joint with exploration or removal of loose or foreign body
27036,Repair of hip joint capsule
27040,Biopsy of tissue of pelvis and hip
27041,Biopsy of tissue of pelvis and hip
27045,Removal (5 centimeters or greater) muscle growth of pelvis or hip
27047,Removal (less than 3 centimeters) tissue growth of pelvis or hip
27048,Removal (less than 5 centimeters) muscle growth of pelvis or hip
27054,Removal of membrane covering hip joint
27059,Removal (5 centimeters or greater) tissue growth of pelvis or hip
27062,Removal of fluid-filled sac (bursa) or calcium deposit of pelvis
27065,Removal of bone cyst or growth of hip or pelvic bone
27071,Partial removal of hip or pelvic bone
27087,Removal of foreign body in tissue or muscle of pelvis or hip
27090,Removal of hip prosthesis
27091,Removal of hip prosthesis
27093,Injection of dye for X-ray imaging of hip joint
27095,Injection procedure for X-ray imaging of hip under anesthesia
27096,Injection procedure into sacroiliac joint for anesthetic or steroid
27110,Transfer of muscle to thigh bone at hip joint
27122,Repair of hip socket with removal of head of thigh bone
27125,Partial replacement of thigh bone at hip joint with prosthesis
27130,Replacement of thigh bone and hip joint prosthesis
27132,Replacement of thigh bone and hip joint prosthesis
27134,Revision of thigh bone and hip joint prosthesis
27137,Revision of hip joint prosthesis
27138,Revision of thigh bone prosthesis
27146,Incision of pelvic bone
27161,Incision of upper thigh bone at hip joint
27187,Preventive fixation of thigh bone
27193,Closed treatment of pelvic ring fracture or dislocation
27194,Closed treatment of pelvic ring fracture or dislocation with manipulation under anesthesia
27220,Closed treatment of hip socket fractures
27228,Open treatment of hip socket fractures with insertion of hardware
27230,Closed treatment of upper thigh bone fracture
27232,Closed treatment of thigh bone fracture with manipulation
27235,"Insertion of hardware to broken thigh bone, accessed through the skin"
27236,Open treatment of broken thigh bone with insertion of hardware or prosthetic replacement
27238,Closed treatment of fracture below neck of upper thigh bone
27240,Closed treatment of broken thigh bone with manipulation
27244,Surgical treatment of broken thigh bone
27245,Surgical treatment of broken thigh bone
27248,Open treatment of broken thigh bone
27266,Closed treatment of dislocated hip prosthesis under anesthesia
27275,Manipulation of hip joint under general anesthesia
27280,Fusion of sacroiliac joint
27299,Pelvis or hip joint procedure
27301,Drainage of abscess or blood collection at thigh or knee region
27303,Incision of bone of thigh or knee
27305,"Removal of tissue at thigh or knee region, open procedure"
27306,"Incision of tendon of thigh or hamstring muscles, accessed through the skin"
27310,"Exploration, drainage, or removal of foreign body in knee joint"
27323,Biopsy of thigh or knee region tissue
27324,Biopsy of thigh or knee region tissue
27327,Removal (less than 3 centimeters) tissue growth beneath the skin of thigh or knee
27331,"Exploration, biopsy, or removal of loose or foreign body of knee"
27334,Removal of knee joint covering
27335,Removal of knee joint covering
27339,Removal (5 centimeters or greater) muscle growth of thigh or knee
27345,Removal of cyst of membrane covering behind knee joint
27350,Removal of knee cap
27355,Removal or scraping of cyst or growth of thigh bone
27357,Removal or scraping of cyst or growth of thigh bone with patient-derived bone graft
27360,Partial removal of bone of thigh and/or lower leg bones
27364,Removal (5 centimeters or greater) tissue growth of thigh or knee
27365,Removal of growth of thigh or knee bone
27370,Injection procedure for X-ray imaging of knee
27380,Suture of tendon below knee
27385,Suture of ruptured muscle of thigh
27386,Suture of ruptured muscle of thigh
27391,"Repair of multiple hamstring tendons, open procedure"
27393,Lengthening of hamstring tendon
27394,Lengthening of multiple hamstring tendons in one leg
27400,Transfer of tendon or muscle in hamstring
27420,Repair of dislocating knee cap
27422,Repair of dislocating knee cap
27425,"Release of ligaments of knee joint, open procedure"
27427,Reconstruction of knee joint ligaments
27429,"Reconstruction of knee joint ligaments, open procedure"
27430,Repair of muscle group above knee joint
27435,Incision of back portion of knee joint capsule
27437,Repair of knee cap
27438,Repair of knee cap with insertion of prosthesis
27443,Repair of knee joint
27446,Repair of knee joint
27447,Repair of knee joint
27448,Repair of thigh bone
27454,Repair of thigh bone with insertion of rod
27465,Shortening of thigh bone
27466,Lengthening of thigh bone
27486,Revision of one component of total knee joint prosthesis
27487,Revision of lower thigh bone and both shin bone components of total knee joint prosthesis
27488,Removal of total knee joint prosthesis
27495,Strengthening of thigh bone
27506,Open treatment of broken thigh bone
27507,Open treatment of broken thigh bone
27511,Open treatment of broken thigh bone
27514,Open treatment of broken thigh bone
27520,Closed treatment of knee cap fracture
27550,Closed treatment of knee dislocation
27560,Closed treatment of dislocation of knee cap
27570,Alignment of knee joint under anesthesia
27580,Fusion of knee
27590,Amputation of thigh through thigh bone
27599,Thigh or knee procedure
27600,Incision of tissue of front and/or lateral muscle compartments of lower leg
27601,Incision of tissue of rear muscle compartments of lower leg
27602,Incision of tissue of front and/or lateral and rear muscle compartments of lower leg
27603,Drainage of abscess or blood collection at lower leg or ankle
27605,"Incision of Achilles tendon, accessed through the skin using local anesthetic"
27606,"Incision of Achilles tendon, accessed through the skin requiring general anesthesia"
27607,Incision of bone of leg or ankle
27612,Release of ankle joint capsule
27613,Biopsy of soft tissue of leg or ankle
27614,Biopsy of tissue or muscle of lower leg or ankle
27615,Removal (less than 5 centimeters) tissue growth of leg or ankle
27618,Removal (less than 3 centimeters) tissue growth beneath the skin of leg or ankle
27619,Removal of (less than 5 centimeters) muscle growth of leg or ankle
27625,Removal of membrane covering of ankle joint
27635,Removal or scraping of cyst or growth of either bone of lower leg
27640,Partial removal of shin bone
27648,Injection for X-ray imaging of ankle
27654,Repair of ruptured Achilles tendon
27656,Repair of leg tissue defect
27659,Repair of leg tendon
27665,Repair of leg tendon
27675,Repair of dislocating lower leg tendons
27680,Release of leg and/or ankle tendon
27685,Lengthening or shortening of tendon of leg or ankle
27686,Lengthening or shortening of multiple tendons of leg or ankle
27687,Lengthening of calf muscle
27690,Transplant of tendon and muscle rerouting at lower leg or ankle
27691,Transplant of deep tendon with muscle rerouting at lower leg or ankle
27692,Transplant of tendon and muscle rerouting at lower leg or ankle
27698,Repair of disrupted collateral ligament of ankle
27702,Repair of ankle joint with prosthesis
27703,Repair of ankle joint with revision of prosthesis
27704,Removal of ankle implant
27705,Incision of shin bone
27720,Repair of non-healed fracture of shin bone
27724,Repair of non-healed shin bone with graft from hip or other bone
27759,Treatment of broken shin bone
27786,Closed treatment of broken ankle
27792,Open treatment of broken ankle
27810,Closed treatment of broken ankle with manipulation
27814,Open treatment of broken ankle
27822,Open treatment of broken ankle
27829,Open treatment of ligament tear at ankle joint
27840,Closed treatment of ankle dislocation
27848,Open treatment of ankle dislocation with repair or internal or external hardware
27860,Manipulation of ankle under general anesthesia
27870,"Fusion of ankle joint, open procedure"
27871,Fusion of foreleg bones at knee or ankle joint
27880,Amputation of both lower leg bones
27882,"Amputation of leg, open procedure"
27886,Re-amputation of leg
27892,Incision of tissue of front and/or lateral muscle compartments of lower leg with removal of muscle and/or nerve
28001,Drainage of fluid-filled sac (bursa) of foot
28002,Drainage of fluid-filled sac (bursa) of foot
28003,Drainage of multiple fluid-filled sacs (bursa) of foot
28005,Incision of foot bone
28008,Incision of tissues of muscle compartment of foot and/or toe
28010,"Repair of toe tendon, accessed through the skin"
28011,"Repair of multiple toe tendons, accessed through the skin"
28022,"Exploration, drainage, or removal of foreign body of foot"
28024,"Exploration, drainage, or removal of foreign body of toe joint"
28035,Release of nerve between tissue and bone of foot
28043,Removal (less than 1.5 centimeters) tissue growth beneath the skin of foot or toe
28045,Removal (less than 1.5 centimeters) muscle growth of foot or toe
28055,Removal of nerve of foot muscle
28060,Partial removal of tissue at sole of foot
28062,Removal of tissue at sole of foot
28072,Removal of joint lining at first joint of toe
28080,Removal of fibrous nerve growth from between toes
28086,Removal of foot tendon
28088,Removal of foot tendon
28090,Removal of growth of tendon covering or joint capsule of foot
28092,Removal of growth of tendon covering or joint capsule of toes
28100,Removal or scraping of bone cyst or growth of heel bone
28104,Removal or scraping of bone cyst or growth of ankle bone
28107,Removal or scraping of bone cyst or growth of foot bone with donor bone graft
28108,Removal or scraping of bone cyst or growth of toes
28110,Removal of bunion at fifth toe joint
28112,"Removal of bones at second, third, or fourth toe joints"
28113,Removal of foot bone at fifth toe joint
28114,Removal of multiple foot bones
28118,Removal of heel bone
28119,Removal of heel bone spur
28120,Partial removal of foot or heel bone
28122,Partial removal of foot or heel bone
28124,Partial removal of toe bone
28126,Removal of bone at base of toe
28140,Removal of foot bone
28150,Removal of toe
28153,Partial removal of toe bone joints
28160,Partial removal of toe joint
28190,"Removal of foreign body of foot tissue, accessed beneath the skin"
28192,Removal of foreign body of foot tissue
28193,Removal of foreign body of foot tissue
28200,Repair of foot tendon
28202,Repair of foot tendon
28208,Repair of foot tendon
28220,Release of foot tendon
28222,Release of multiple foot tendons
28225,Release of foot tendon
28230,"Incision to lengthen foot tendons, open procedure"
28232,"Incision to lengthen toe tendon, open procedure"
28234,"Incision to release foot tendon, open procedure"
28238,Advancement of ankle tendon with removal of ankle joint bone
28240,Incision to release foot muscle tendon
28260,Incision of ankle joint capsule to correct foot deformity
28262,Correction of foot deformity with incision of ankle joint capsule and lengthening of tendons
28270,Incision of joint capsule of foot and toe
28272,Incision of toe joint capsule
28280,Creation of web space between toes
28285,Correction of toe joint deformity
28288,Removal of foot bone spur
28289,Correction of deformity of first long bone at toe joint
28290,Correction of bunion
28292,Correction of bunion
28293,Correction of bunion
28296,Correction of bunion
28297,Correction of bunion
28298,Correction of bunion
28299,Correction of bunion
28300,Incision to repair heel bone
28304,Incision to correct foot or ankle bones
28306,Incision to straighten big toe bone
28307,Incision to straighten big toe bone with patient-derived bone graft
28308,Incision to straighten toe bone
28309,Incision to straighten toe bones
28310,Incision to straighten big toe bone
28312,Incision to straighten toe bone
28313,Reconstruction of soft tissue angular deformity of toe
28315,Removal of small bone underlying long bone of foot at toe joint
28400,Closed treatment of broken heel bone
28450,Treatment of broken foot bone
28470,Closed treatment of broken foot bone
28475,Closed treatment of fracture of foot with manipulation
28485,Open treatment of broken foot bone
28490,Closed treatment of broken great toe
28510,Closed treatment of broken toe
28515,Closed treatment of broken toe with manipulation
28645,Open treatment of dislocated foot bone
28666,"Insertion of hardware to toe joint dislocation with manipulation, accessed through the skin"
28705,Fusion of ankle joint
28715,Fusion of ankle joint
28725,Fusion of foot joint
28730,Fusion of multiple foot joints
28740,Fusion of foot joint
28750,Fusion of great toe
28755,Fusion of great toe
28805,Amputation of foot
28810,Amputation of foot
28820,Amputation of foot
28825,Amputation of foot
28890,Shock wave therapy under anesthesia to sole of the foot using ultrasound guidance
28899,Foot or toe procedure
29055,Application of shoulder spica cast
29065,"Application of cast, shoulder to hand (long arm)"
29075,"Application of cast, elbow to finger (short arm)"
29085,Application of cast to hand and lower forearm
29086,Application of cast to finger
29105,Application of long arm splint (shoulder to hand)
29125,"Application of non-moveable, short arm splint (forearm to hand)"
29126,"Application of moveable, hinged short arm splint (forearm to hand)"
29130,"Application of non-moveable, hinged finger splint"
29200,Strapping of chest
29240,Strapping of shoulder
29260,Strapping of elbow or wrist
29280,Strapping of hand or finger
29355,"Application of long leg cast (thigh to toes), walker or ambulatory type"
29365,Application of cylinder cast (thigh to ankle)
29405,Application of short leg cast (below knee to toes)
29425,"Application of short leg cast (below knee to toes), walking or ambulatory type"
29445,Application of rigid total contact leg cast
29450,Application of long or short leg clubfoot cast
29505,Application of long leg splint (thigh to ankle or toes)
29515,Application of short leg splint (calf to foot)
29520,Strapping of hip
29530,Strapping of knee
29540,Strapping of ankle and/or foot
29550,Strapping of toes
29580,"Strapping, Unna boot"
29581,Application of vein wound compression system lower leg below knee including ankle and foot
29582,Application of vein wound compression system thigh and lower leg
29583,Application of vein wound compression system upper arm and forearm
29584,"Application of vein wound compression system upper arm, forearm, hand, and fingers"
29700,"Removal or bivalving of gauntlet, boot, or body cast"
29705,Removal or bivalving of full arm or leg cast
29730,Exposure of skin surface by creation of an opening in cast
29799,Casting or strapping procedure
29804,Examination of jaw joint using an endoscope
29805,Diagnostic examination of shoulder using an endoscope
29806,Incision of should joint capsule using an endoscope
29807,Repair of shoulder socket cartilage using an endoscope
29819,Removal of loose or foreign body of shoulder using an endoscope
29820,Partial removal of shoulder joint lining using an endoscope
29821,Removal of entire shoulder joint lining using an endoscope
29822,Removal of shoulder joint tissue using an endoscope
29823,Extensive removal of shoulder joint tissue using an endoscope
29824,Partial removal of collar bone at shoulder using an endoscope
29825,Release or removal of shoulder scar tissue using an endoscope
29826,Shaving of shoulder bone using an endoscope
29827,Repair of shoulder rotator cuff using an endoscope
29828,Release of shoulder biceps tendon using an endoscope
29830,Diagnostic examination of elbow joint using an endoscope
29840,Diagnostic examination of the wrist using an endoscope
29844,Partial removal of wrist joint lining using an endoscope
29845,Removal of wrist joint lining using an endoscope
29846,Removal or repair of wrist joint lining using an endoscope
29848,Release of wrist ligament using an endoscope
29850,Treatment of knee joint fractures with assistance of an endoscope
29862,Removal or shaving of hip joint socket cartilage using an endoscope
29863,Removal of hip joint lining using an endoscope
29870,Diagnostic examination of knee using an endoscope
29873,Release of ligaments at outer aspect of knee joint using an endoscope
29874,Removal of loose or foreign body of knee joint using an endoscope
29875,Partial removal of knee joint lining using an endoscope
29876,Removal of joint lining from two or more knee joint compartments using an endoscope
29877,Removal or shaving of knee joint cartilage using an endoscope
29879,Repair of knee joint using an endoscope
29880,Removal of both knee cartilages using an endoscope
29881,Removal of one knee cartilage using an endoscope
29882,Repair of knee joint using an endoscope
29883,Repair of knee joint using an endoscope
29884,Repair of knee joint and removal of scar tissue using an endoscope
29888,Repair of anterior cruciate ligament of knee with assistance of an endoscope
29893,Repair of fibrous tissue of foot using an endoscope
29897,Partial removal of ankle joint lining using an endoscope
29898,Removal of dead or infected ankle joint tissue using an endoscope
29914,Reconstruction of hip socket and repair of thigh bone using an endoscope
29915,Reconstruction of hip socket using an endoscope
29916,Removal and shaving of hip joint socket cartilage using an endoscope
29999,Joint procedure using an endoscope
30100,Biopsy of lining of nose
30115,Removal of polyps in nose
30117,Removal or destruction of growth in nose
30130,Removal of nasal air passage
30140,Removal of nasal air passage
30200,Injection of drug into nasal air passages
30210,Irrigation and drainage of sinus
30300,Removal of foreign body in nose
30400,Reshaping of tip of nose
30430,Revision to reshape nose or tip of nose after previous repair
30465,Widening of nasal passage
30520,Reshaping of nasal cartilage
30560,Release of nasal scar tissue
30580,Repair of abnormal drainage tract between two nasal sinuses
30620,Repair of mucous lining of nasal passage with graft
30630,Repair of openings in nasal cartilage
30801,Destruction of soft tissue of nasal passages
30802,Destruction of soft tissue in nasal passages
30901,Simple control of nose bleed
30903,Complex control of nose bleed
30905,Control of nose bleed and insertion of packing
30906,Control of nosebleed and insertion of packing
30930,Therapeutic fracture of nasal passages
30999,Nasal procedure
31000,Irrigation of nasal sinus
31002,Irrigation of nasal sinus
31030,Incision of nasal sinus
31051,Removal of nasal polyps
31090,Removal of diseased tissue or growths in multiple nasal sinuses on one side of face
31200,Partial removal of nasal sinus
31201,Removal of nasal sinus
31205,Removal of nasal sinus
31225,Removal of nasal sinus
31231,Diagnostic examination of nasal passages using an endoscope
31233,Examination of nasal passage and sinus using an endoscope
31235,Examination of nasal passages and sinus using an endoscope via sinus puncture
31237,Biopsy or removal of nasal polyp or tissue using an endoscope
31238,Control of nasal bleeding using an endoscope
31239,Incision of tear duct using an endoscope
31240,Removal of nasal breathing passages using an endoscope
31254,Partial removal of nasal sinus using an endoscope
31255,Removal of nasal sinus using an endoscope
31256,Incision of nasal sinus using an endoscope
31267,Removal of nasal sinus tissue using an endoscope
31276,Exploration of nasal sinus using an endoscope
31287,Incision of nasal sinus using an endoscope
31288,Removal of nasal sinus tissue using an endoscope
31292,Decompression of eye bone using an endoscope
31295,Dilation of nasal sinus using an endoscope
31296,Dilation of nasal sinus using an endoscope
31297,Dilation of nasal sinus using an endoscope
31299,Accessory sinus procedure
31420,Removal of cartilage attaching the tongue
31500,Emergent insertion of breathing tube into windpipe cartilage using an endoscope
31502,Change of breathing tube of windpipe in neck
31505,Diagnostic examination of voice box using an endoscope
31513,Vocal cord injection using an endoscope
31515,Aspiration of voice box using an endoscope
31525,Diagnostic examination of voice box using an endoscope
31526,Diagnostic examination of voice box using an endoscope with operating microscope or telescope
31528,Dilation of the voice box using an endoscope
31531,Removal of foreign body from voice box using an endoscope with operating microscope or telescope
31535,Biopsy of voice box using an endoscope
31536,Biopsy of voice box using an endoscope with operating microscope or telescope
31540,Removal of growth of tongue and/or vocal cord stripping using an endoscope
31541,Removal of growth of tongue and/or vocal cord stripping using an endoscope with operating microscope or telescope
31545,Removal of vocal cord growths with tissue flap repair using an endoscope with operating microscope or telescope
31561,Removal of cartilage attaching voice box using an endoscope with operating microscope or telescope
31570,Injection of vocal cords using an endoscope
31571,Injection of vocal cords using an endoscope with operating microscope or telescope
31575,Diagnostic examination of voice box using flexible endoscope
31576,Biopsy of voice box using a flexible endoscope
31578,Removal of growth from voice box using a flexible endoscope
31579,Examination to assess movement of vocal cord flaps using an endoscope
31588,General repair of voice box
31599,Voice box procedure
31600,Opening of windpipe through neck for insertion of breathing tube
31603,Emergent surgical opening of windpipe through neck for insertion of breathing tube
31610,Creation of permanent opening of windpipe for breathing
31611,Creation of opening of windpipe and with insertion of speech prosthesis
31613,Revision of permanent opening of windpipe for breathing
31615,Examination of windpipe and lung airways through permanent skin opening to windpipe using an endoscope
31620,Ultrasound of lung airways using an endoscope
31622,Diagnostic examination of lung airways using an endoscope
31623,Examination of lung airways using an endoscope
31624,Irrigation and suction of lung airways to obtain cells using an endoscope
31625,Biopsy of lung airways using an endoscope
31626,Insertion of radiation therapy markers into lung airways using an endoscope
31627,Computer-assisted image-guided navigation of lung airways using an endoscope
31628,Biopsy of one lobe of lung using an endoscope
31629,"Needle biopsy of windpipe cartilage, airway, and/or lung using an endoscope"
31630,Treatment of windpipe cartilage fracture or dilation of windpipe cartilage using an endoscope
31631,Insertion of stents into windpipe using an endoscope
31632,Biopsy of lung using an endoscope
31633,Needle biopsy of lung using an endoscope
31635,Removal of foreign body in lung airways using an endoscope
31636,Insertion of stents in lung airways using an endoscope
31640,Removal of growth in lung airways using an endoscope
31641,Destruction of growth or narrowing of lung airway using an endoscope
31645,Aspiration of lung secretions from lung airways using an endoscope
31646,Aspiration of lung secretions from lung airways using an endoscope
31717,Insertion of catheter into airway of lung for brush biopsy
31725,Insertion of catheter into windpipe and lung airways for removal of secretions at bedside using an endoscope
31730,"Insertion into windpipe of needle wire, dilator, stent, or tube for oxygen delivery"
31750,Repair of windpipe cartilage
31899,Windpipe or lung airway procedure
32096,Opening in chest with biopsy of fluid collection in one lung
32097,Opening in chest with biopsy of growths in one lung
32100,Incision and exploration of chest cavity
32124,Opening in chest with release of lung lining
32220,Removal of lung lining for lung expansion
32310,Removal of chest cavity lining
32320,Removal of chest cavity and lung lining
32405,"Needle biopsy of lung or chest tissue, accessed through the skin"
32480,Removal of one lobe of lung
32484,Removal of a segment of lung tissue
32505,Opening in chest with partial removal of lung tissue
32507,Partial removal of lung tissue for diagnostic examination
32540,Removal of infected material between lung and chest wall
32550,Insertion of permanent catheter for drainage of lung fluid
32551,"Removal of fluid from between lung and chest cavity, open procedure"
32552,Removal of tunneled catheter in lung lining
32553,"Insertion of devices in chest cavity for radiation therapy guidance, accessed through the skin"
32554,Removal of fluid from chest cavity
32555,Removal of fluid from chest cavity with imaging guidance
32556,"Removal of fluid from chest cavity with insertion of indwelling catheter, accessed through the skin"
32557,"Removal of fluid from chest cavity with insertion of indwelling catheter and imaging guidance, accessed through the skin"
32560,Catheter instillation of agent onto lung surface
32561,Catheter instillations of agent onto lung lining to break up scar tissue
32562,Catheter instillations of agent onto lung lining to break up scar tissue
32601,"Diagnostic examination of lungs, heart sac, mid-chest cavity, or lung lining using an endoscope"
32607,Biopsy of fluid collection in one lung using an endoscope
32608,Biopsy of growths in one lung using an endoscope
32609,Biopsy of lung lining using an endoscope
32650,Adhesion of the lung linings using an endoscope
32651,Partial removal of chest cavity lining and lung using an endoscope
32652,Complete removal of inside lining of chest cavity and lung using an endoscope
32653,Removal of foreign body from lining of chest cavity using an endoscope
32654,Control of bleeding in chest using an endoscope
32655,Removal of air sac of lung using an endoscope
32656,Removal of lining of lung using an endoscope
32659,Creation of opening or partial removal of sac that covers the heart using an endoscope
32663,Examination of lung with removal of lung lobe using an endoscope
32666,Partial removal of tissue of one lung using an endoscope
32667,Partial removal of lung tissue using an endoscope
32668,Partial removal of lung tissue using an endoscope
32669,Removal of a segment of lung tissue using an endoscope
32674,Removal of lymph nodes of mid-chest cavity using an endoscope
32701,Thoracic targets delineation for stereotactic body radiation therapy
32851,Transplant of lung
32853,Transplant of both lungs
32856,Preparation of two cadaver lungs for transplantation
32940,Release of lining covering lung from chest wall
32998,"Destruction of growths in one lung, accessed through the skin"
32999,Lung and lung lining procedure
33010,Aspiration of fluid from sac that covers the heart
33015,Insertion of catheter for drainage into sac that covers the heart
33025,Creation of opening or partial removal of sac that covers the heart
33030,Removal of sac that covers the heart
33031,Removal of sac that covers the heart on heart-lung machine
33050,Removal of cyst or growth from sac that covers the heart
33141,Laser treatment of heart muscle to improve blood flow during open procedure
33202,"Insertion of electrodes to outer layer of heart, open procedure"
33203,Insertion of electrodes to outer layer of heart using an endoscope
33207,Insertion or replacement of permanent pacemaker and lower chamber electrodes
33208,Insertion of new or replacement of permanent pacemaker including upper and lower chamber electrodes
33210,Placement of temporary pacemaker leads
33211,Placement of temporary pacemaker leads
33212,Insertion of pacemaker pulse generator with existing single lead
33213,Insertion of pacemaker pulse generator with existing dual leads
33215,Repositioning of implanted pacemaker or pacing defibrillator device
33216,Insertion of electrode for permanent pacemaker or pacing defibrillator device
33217,Insertion of electrodes for permanent pacemaker or pacing defibrillator device
33222,Relocation of pacemaker generator skin pocket
33223,Relocation of pacing defibrillator device skin pocket
33224,Insertion of left heart electrode with attachment to pacemaker or pacing defibrillator device
33225,Insertion of left heart electrode for pacing defibrillator device
33227,Removal and replacement of single lead permanent pacemaker pulse generator
33228,Removal and replacement of dual lead permanent pacemaker pulse generator
33229,Removal and replacement of multiple lead permanent pacemaker pulse generator
33230,Insertion of pacing defibrillator pulse generator with existing dual leads
33233,Removal of permanent pacemaker pulse generator
33234,Removal of electrode from right heart
33235,Removal of electrodes from right heart
33240,Insertion of pacing defibrillator pulse generator with existing single lead
33241,Removal of pacing defibrillator pulse generator
33243,Removal of right heart pacing defibrillator electrodes
33244,Removal of right heart pacing defibrillator electrodes
33249,Insertion or replacement of single or dual chamber pacing defibrillator leads
