date,time,location,operator,flight_no,route,ac_type,registration,cn_ln,aboard,fatalities,ground,summary
"August 21, 1949",23:30,"Near Bigstone Lake, Manitoba",Military - Royal Canadian Air Force,?,Churchhill - Winnipeg,Consolidated Canso (amphibian),11057,?,21   (passengers:14  crew:7),21   (passengers:14  crew:7),0,Crashed and burned in a wooded area after entering an area of thunderstorms.
"August 27, 1949",08:00,"Leopoldville, Zaire",Sabena,?,Leopoldville - Elizabethville,Douglas C-47B-5-DK,OO-CBK,14600/26045,20   (passengers:17  crew:3),5   (passengers:3  crew:2),0,The aircraft did not achieve a proper climb rate after taking off and crashed while making a low altitude right turn. Water in the fuel and excessive lead on the spark plugs.
"September 09, 1949",10:45,"Sault-aux-Cochons, PQ, Canada",Canadian Pacific Air Lines,?,Montreal - Comeau Bay,Douglas DC-3,CF-CUA,4518,23   (passengers:19  crew:4),23   (passengers:19  crew:4),0,"The aircraft disintegrated in flight 40 miles outside of Quebec.  Detonation of a dynamite bomb in the forward baggage compartment. Planted by Albert Guay, a jeweler, in a plot to kill his wife who was a passenger on the plane. Guay, who assembled the bomb, had his accomplice, Marguerite Pitre, air express the bomb on the aircraft. Ms. Pitre's brother, a clockmaker, helped make the timing mechanism. The insurance policy was for $15,000.  All three were hanged for their crimes."
"September 26, 1949",13:30,"Mt. Popocatepetl, Mexico",Mexicana,?,Tapacula - Mexico City,Douglas DC-3,XA-DUH,11725,24   (passengers:21  crew:3),24   (passengers:21  crew:3),0,"Crashed into a 15,000 ft. snow covered volcano, Mt. Popocatepetl. Flying VFR in IFR conditions."
"September 27, 1949",?,"Near Castilla, Argentina",Flota Aérea Mercante Argentina,?,?,Douglas C-54A-1-DO,LV-ABI,7445,27   (passengers:20  crew:7),5   (passengers:2  crew:3),0,Crashed after an in-flight fire. The plane tried to make a forced landing but crashed before reaching the air strip. Returning from a mercy mission in Ecuador for earthquake relief.
"October 09, 1949",?,"Cheyenne, Wyoming",Slick Airways,11-8,Las Vegas - Denver,Curtiss C-46E-1-CS,N59485,2939,4   (passengers:2  crew:2),4   (passengers:2  crew:2),0,"Diverted to Cheyenne, while on approach, the aircraft crashed 2.5 miles short of the runway after encountering severe turbulence and icing. Loss of control of the aircraft during an instrument approach to Cheyenne, under conditions of heavy icing and severe turbulence."
"October 28, 1949",c 02:50,"San Miguel Island, Azores",Air France,?,Paris - Santa Maria - New York City,Lockheed 749-79-33 Constellation,F-BAZN,2546,48   (passengers:37  crew:11),48   (passengers:37  crew:11),0,"While attempting for the third time to land at Santa Maria, the aircraft, flew into Redondo Mountain at 2,950 ft. on San Miguel Island. Crew error. Failure to carry out either of the two approach procedures adopted for Santa Maria airport. False position report give by crew. Inadequate navigation.  Failure to identify Santa Maria airport when flying in VFR conditions. French middleweight boxing champion Marcel Cerdan, 33, and French violinist, Ginette Neveu killed."
"November 01, 1949",c 11:45,"Arlington, Virginia",Eastern Air Lines / Military - Bolivian Air Force,537,Boston - Washington D.C. - New Orleans,Douglas C-54B / P-38,N88727/NX26927,18365 /,55   (passengers:51  crew:4),55   (passengers:51  crew:4),0,"Midair collision. The P-38 hit the airliner from above. Both planes crashed into the Potomac River. The pilot of the P-38 survived and was accused of causing the accident by executing  a straight in approach without proper clearance. He was later tried and cleared of the charges. ATC error.  George Bates, U.S. Representative from Massachusetts and Michael Kennedy, U.S. Representative from New York killed. Helen Hokinson, 56, cartoonist for the New Yorker magazine, also among the dead."
"November 04, 1949",21:34,"Akron, Ohio",Harrington's Inc,?,Philadelphia - Cleveland,Douglas DC-3,NC29086,4304,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The cargo plane collided with trees short of the runway while attempting to land. The improper execution of an instrument approach which resulted in the aircraft being flown to the right of the proper approach path at an altitude too low to clear the terrain.
"November 16, 1949",?,"Calcutta, India",Royal Indian Air Force,?,?,Tempest,?,?,2   (passengers:0  crew:2),1   (passengers:0  crew:1),14,A group of 6 Tempest fighters of the RIAF were flying over Calcutta city. While swerving to avoid a flock of vultures one plane crashed into another. Both planes crashed into the city causing damage to buildings as well as deaths to many civilians. One pilot was killed and the other bailed out. At least 14 were killed on the ground and at least 20 injured.
"November 20, 1949",16:56,"Near Oslo, Norway",Aero Holland,?,Brussels - Oslo,Douglas C-47A,PH-TFA,13462,35   (passengers:31  crew:4),34   (passengers:30  crew:4),0,Crashed into a hill during the approach. Pilot continued VFR in IFR condtions.
"November 26, 1949",12:00,"Near Bucaramanga, Colombia",LANSA,?,Bucaramanga - Cucuta,Douglas DC-3,HK-305,?,12   (passengers:9  crew:3),12   (passengers:9  crew:3),0,Struck a mountain shortly after taking off.
"November 29, 1949",05:49,"Dallas, Texas",American Airlines,157,New York City - Mexico City,Douglas DC-6,N90728,42895/58,46   (passengers:41  crew:5),28   (passengers:26  crew:2),0,"During a pull-up for a go-around, after attemping a landing approach with the No. 1 engine feathered,  the No. 4 engine lost power then came on with a surge. The flight engineer feathered the No. 4 engine without instructions from the captain. The aircraft stalled, then collided with wires and a building.  Crew's improper handling of the aircraft after an engine failed."
"November 29, 1949",16:45,"Chaleyssin, France",Air France,?,Paris - Lyons - Tunis,Douglas DC-4,F-BELO,10391,38   (passengers:33  crew:5),5   (passengers:1  crew:4),0,Crashed while on approach to Lyons.
"December 01, 1949",19:00,"Taquaracucu, Brazil",REAL,?,"Sao Palo, Brazil - Jacarezinho, Panama",Douglas DC-3 (C-47-DL),PP-YPM,4241,22   (passengers:18  crew:4),20   (passengers:16  crew:4),0,Crashed into a mountainside while circling to land. Crew error. Lack of flight discipline.  Poor decision by Chief of Operations in allowing the aircraft to continue flight in poor weather conditions.
"December 07, 1949",17:15,"Vallejo, California",Arrow Airlines,?,Burbank - Oakland - Sacramento,Douglas DC-3,NC60256,9201,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,"Struck a 1,200 ft. hill obscured by clouds, during a rainstorm, 6 miles east of Vallejo, California. The pilot failed to fly at the assigned altitude of 4,000 feet on his flight plan."
"December 09, 1949",?,"Near Lanchow, China",Civil Air Transport,?,?,Curtiss C-46D-CU,XT-820,22354,38   (passengers:36  crew:2),38   (passengers:36  crew:2),0,Crashed while en route.
"December 10, 1949",?,"Near Hoikow, China",Civil Air Transport,?,Chengdu - Hoikow,Curtiss C-46D-CU,XT-814,22347,40   (passengers:?  crew:?),17   (passengers:?  crew:?),0,"Crashed on the outskirts of Hoikow, Hainan Island."
"December 12, 1949",20:45,"Washington, D.C.",Capital Airlines,500,New Port News - Washington D.C.,Douglas DC-3-313A,NC-25691,2556,23   (passengers:20  crew:3),6   (passengers:4  crew:2),0,"The aircraft crashed 1,875 feet, short of the runway threshold, into the Potomac River while approaching Washington National Airport. Immediately before the accident and during the execution of an instrument approach, the aircraft was stalled at too low an altitude to effect recovery."
"December 12, 1949",21:51,"Jungshahi, Pakistan",Pakair,?,?,Douglas DC-3,AP-ADI,4841,26   (passengers:22  crew:4),26   (passengers:22  crew:4),0,Hit a mountain and burned 30 miles north of  Karachi airport. Navigational error.
"December 16, 1949",06:00,"Orizaba, Mexico",Mexicana,?,Mexico City - Merida,Douglas DC-3,XA-DUK,11721,17   (passengers:13  crew:4),17   (passengers:13  crew:4),0,Crashed into a mountain while en route.
"December 18, 1949",20:30,"Aulnay-sous-Bois, France",Sabena,?,?,Douglas C-47A-60-DL,OO-AUQ,10241,8   (passengers:4  crew:4),8   (passengers:4  crew:4),0,Crashed after the wing failed during takeoff.
"December 30, 1949",?,"Comilla, Pakistan",Bharat Airways,?,Agartala - Calcutta,Douglas C-54A-DO,VT-CYK,3089,7   (passengers:6  crew:1),7   (passengers:6  crew:1),0,Crashed and burned after attempting an emergency landing.
"January 05, 1950",?,"Sverdlovsk, Russia",Military - Soviet Air Force,?,?,Lisunov Li-2,?,?,19   (passengers:?  crew:?),19   (passengers:?  crew:?),0,"During the approach to Koltsovo Airport in Sverdlovsk, Russia, the aircraft crashed in extremely adverse weather conditions involving a heavy snowstorm with strong winds. All 19 of those on board were killed, including almost the entire national ice hockey team of the Soviet Air Force. The team was heading to a match against the Dynamo Moscow hockey club."
"January 18, 1950",?,"Albacete, Spain",Ejercito del Aire,?,?,Junkers JU-52/3m,?,?,16   (passengers:?  crew:?),16   (passengers:?  crew:?),0,The military plane crashed on the southeast coast of Spain.
"January 20, 1950",12:00,"Near Vacas, Bolivia",Military - Bolivian Air Force,?,Valle grande - Cochabamba,Douglas C-47,TAM-10,?,32   (passengers:28  crew:4),32   (passengers:28  crew:4),0,Crashed while en route in the Andes mountains after encountering a thunderstorm.
"January 24, 1950",?,"Near Tamatave, Madagascar",Societe Transatlantique Aerienne,?,Antananarivo - Tamatave,Douglas C-47A-50-DL,F-BFGD,10046,14   (passengers:11  crew:3),14   (passengers:11  crew:3),0,Crashed into a mountain 30 miles west of Tamatave.
"January 24, 1950",?,"Iloilo,Philippines",Philippine Air Lines,?,Iloilo - Manila,Douglas DC-3,PI-C22,?,4   (passengers:1  crew:3),4   (passengers:1  crew:3),0,Cargo plane.
"January 26, 1950",?,"Near Snag, Yukon Territory",Military - U.S. Air Force,?,"Elmendorf - Great Falls, MT",Douglas C-54D-DC (DC-4),42-72469,10574,44   (passengers:36  crew:8),44   (passengers:36  crew:8),0,"Operated by the Strategic Air Command, the transport disappeared while flying between Elmendorf AFB and Great Falls, Mt. There were 44 persons aboard. All were American military personnel except for two passengers, a civilian dependent and her infant child. Last radio contact was at 17:09 near Snag, YT. It took Amber Airway No.2 over Canada, but failed to arrive at its destination.  The wreckage still had not been found by 1951."
"February 02, 1950",04:45,North Sea,KLM Royal Dutch Airlines,?,Amsterdam - London,Douglas DC-3,PH-TEU,13396,7   (passengers:0  crew:7),7   (passengers:0  crew:7),0,"Crash into the North Sea during a night mail flight shortly after takeoff, 40 miles off the Dutch coast."
"February 27, 1950",?,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,?,Ostrava - Prague,Douglas C-47A-15-DK,OK-WDY,12725,5   (passengers:3  crew:2),5   (passengers:3  crew:2),0,The aircraft crashed into a mountain while en route.
"March 07, 1950",20:59,"Minneapolis, Minnesota",Northwest Orient Airlines,307,Rochester Minn. - Minneapolis,Martin 202,N93050,9134,13   (passengers:10  crew:3),13   (passengers:10  crew:3),2,"Crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow.  Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost."
"March 10, 1950",?,"Saigon, Vietnam",Societe Indochinoise de Transport Aeriens,?,Hue - Tourane,Bristol 170 Freighter 21,F-BECR,12782,4   (passengers:1  crew:3),4   (passengers:1  crew:3),0,Cargo plane.
"March 12, 1950",c 14:50,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,?,Llandow - Dublin,Avro 689 Tudor 5,G-AKBY,1417,83   (passengers:78  crew:5),80   (passengers:75  crew:5),0,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power."
"March 25, 1950",?,"Ankara, Turkey",Devlet Hava Yollairi,?,?,Douglas DC-3,TC-BAL,19423,15   (passengers:11  crew:4),15   (passengers:11  crew:4),0,Crashed and caught fire during landing at Etimeagut airport.
"March 28, 1950",?,"Off Cap-Ferret, France",SEMAF,?,?,Latecoere 631 (sea plane),F-WANU,03,12   (passengers:0  crew:12),12   (passengers:0  crew:12),0,Loss of control after mechanical failure and crashed into the sea. Failure of the aileron control couplings resulting from severe vibration.
"April 05, 1950",?,"Hatiara, India",Deccan Airways,?,?,Douglas C-47A,VT-CJD,12826,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,The cargo plane lost an engine on takeoff and attempted an emergency return but crashed. Overloaded.
"April 13, 1950",?,"Near Hastings, England",British European Airways,?,London - Paris,Vickers 610 Viking 1B,G-AIVL,225,32   (passengers:28  crew:4),0   (passengers:0  crew:0),0,"While en route over the English Channel a explosion occurred in the lavoratory. The bomb blew a 8 ft. by 4 ft. hole in the fuselage seriously injuring a stewardess. The capltain was able to returnt to Northolt and make a safe landing. Detonation of a bomb in the toilet compartment under the towel receptical. A French passenger was suspected of making a suicide attempt. The plane was named ""Vigalant,."""
"April 15, 1950",?,"Santa Ana, Colombia",Lineas Aéreas Nacionales,?,?,Douglas C-47 (DC-3),HK-309,?,25   (passengers:23  crew:2),25   (passengers:23  crew:2),0,?
"April 21, 1950",23:25,"Near Atsugi, Japan",Military - U.S. Air Force,?,Philippines - Japan,Douglas C-54D,42-72704,?,35   (passengers:27  crew:8),35   (passengers:27  crew:8),0,Flew off its prescribed course and crashed into Mt. Tanzawa in a rainstorm.
"May 02, 1950",?,"Chimborazo, Ecuador",AVIANCA,?,Quito - Guayaquil,Douglas C-47DL,HK-120,4314,15   (passengers:12  crew:3),15   (passengers:12  crew:3),0,Flew into a mountain.
"May 17, 1950",20:59,"Lagens Air Force Base, Azores",Military - U.S. Air Force,?,Bermuda - England,Boeing B-29,?,?,16   (passengers:5  crew:11),16   (passengers:5  crew:11),0,Crashed while attempting to land after being diverted to Lagens due to engine trouble.
"May 23, 1950",10:20,"Myrtle Beach, South Carolina",Military - U.S. Air Force,?,?,Curtiss C-46D,44-77577,32973,39   (passengers:35  crew:4),39   (passengers:35  crew:4),0,"Lost the left aileron after taking off, lost control and crashed."
"May 24, 1950",?,"Near Pasto, Colombia",LANSA,?,Popayan - Ipiales,Douglas C-47,HK-307,10194,26   (passengers:23  crew:3),25   (passengers:22  crew:3),0,Struck the side of Galeras Volcano.
"May 27, 1950",17:30,"Teterboro, New Jersey",Regina Cargo Airlines,?,?,Curtiss C-46F-1-CU,N9406H,22582,2   (passengers:0  crew:2),1   (passengers:0  crew:1),0,The cargo plane lost an engine on takeoff and crashed. Overloading of the aircraft due to faulty loading and dispatch procedures coupled with engine malfunctioning due to inadequate maintenance.
"May 30, 1950",?,"Near Ilheus, Brazil",Aerovias Brasil,?,Victoria - Salvador,Douglas DC-3,PP-AVZ,9156,15   (passengers:11  crew:4),13   (passengers:9  crew:4),0,"During descent into dense cumulonimbus  clouds, severe turbulence was encountered which caused displacement of freight that led to an uncontrolled dive which resulted in the wings separating from the fuselage. Structural failure due to severe turbulence during a thunderstorm. Pilots decision to descend without clearing the turbulent area of weather."
"June 05, 1950",22:03,Atlantic Ocean off Florida,Westair Transport,?,San Juan - Wilmington NC,Curtiss C-46-F-1-CU,N1248N,22496,65   (passengers:62  crew:3),28   (passengers:28  crew:0),0,"Ditched into the Atlantic 300 miles east of Melbourne, Florida on a flight from San Juan, Porto Rico to Wilmington, North Carolina due to failure of both engines. It sank in one of the deepest areas of the Atlantic and could not be recovered. Failure of both engines for reasons unknown."
"June 09, 1950",c 19:00,"Near Fonseca, Colombia",New Tribes Mission,?,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas DC-3-178,N16030,1546,15   (passengers:12  crew:3),15   (passengers:12  crew:3),0,Crashed and burned 19 miles east northeast of Fonseca well off course. Cause unknown.
"June 12, 1950",21:52,Off Bahrain,Air France,?,Saigon - Paris,Douglas DC-4-1009,F-BBDE,42937,52   (passengers:44  crew:8),46   (passengers:40  crew:6),0,"While making a final approach for Bahrain, the aircraft crashed into the sea. The pilot did not keep a accurate check of his altitude and rate of descent during the approach. Crew error, possibly due to fatigue.  An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
"June 14, 1950",21:55,Off Bahrain,Air France,?,Saigon - Paris,Douglas DC-4-1009,F-BBDM,42990,53   (passengers:45  crew:8),40   (passengers:37  crew:3),0,"The aircraft crashed into the Persian Gulf while on approach on a flight from Saigon to Paris. Improper approach. Crew error. An alternate probable cause may been windshear. It was not know at the time that windshear conditions existed at temperature inversion levels for several days after Shamal dust storms. The aircraft may have run out of adequate forward speed at an altitude of 400 feet after descending through a headwind level into a tailwind level when committed to land.  With surface winds relatively calm and in 2,000 meters of sand haze, the winds at 400 ft. may have been in excess of 80 knots."
"June 23, 1950",23:25,"Lake Michigan, 18 NNW of Benton Harbor, Michigan",Northwest Orient Airlines,2501,New York City - Minneapolis-St. Paul,Douglas DC-4,N95425,10270,58   (passengers:55  crew:3),58   (passengers:55  crew:3),0,"En route from New York to Minneapolis, the aircraft crashed into Lake Michigan. The DC-4 was last reported at 3,500 ft. The crash occurred shortly after the aircraft entered an area of severe turbulence with thunderstorm activity. The wreckage was never found but was believed to be located in 150 feet of water and  not recoverable because it was in 30 feet of silt and an area of extremely poor visibility. The forecast of a squall line in the areas was not made available to the crew. Cause unknown."
"June 26, 1950",c 23:00,"York, Australia",Ansett ANA,?,Guildford - Melbourne,Douglas DC-4-1009,VH-ANA,42910,29   (passengers:24  crew:5),29   (passengers:24  crew:5),0,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named ""Amana."""
"July 07, 1950",?,"Busan, South Korea",Military - U.S. Air Force,?,?,Douglas C-54G,45-0518,35971,23   (passengers:?  crew:?),23   (passengers:?  crew:?),0,Struck a mountain.
"July 09, 1950",?,"Casablanca, Morocco",Aigle Azur,?,Paris - Dakar,Douglas DC-3,F-BFGL,13824,29   (passengers:25  crew:4),22   (passengers:18  crew:4),0,Crashed on climb-out.
"July 17, 1950",?,"Near Pathankot, India",Indian National Airlines,?,Delhi - Sringagar,Douglas DC-3,VT-ATS,20359,22   (passengers:18  crew:4),22   (passengers:18  crew:4),0,The left wing separated from the plane in extreme turbulence from a thunderstorm.
"July 18, 1950",?,"Near Bocoio, Angola",DTA Angola Airlines,?,Nova Lisboa - Lobito,Douglas DC-3,CR-LBK,13769,9   (passengers:6  crew:3),9   (passengers:6  crew:3),0,?
"July 27, 1950",04:30,"Off O-shima Island, Japan",Military - U.S. Air Force,?,?,Douglas C-47D,44-76439A,?,26   (passengers:23  crew:3),25   (passengers:22  crew:3),0,"The aircraft took off from O-shima and reached an altitude of 3,500 feet after which a sudden unexplained descent was made until it crashed into the sea. The surviving witness stated the aircraft hit two moderate bumps followed by dimming of the lights before the descent."
"July 28, 1950",?,"Porte Alegre, Brazil",Panair do Brasil,?,Rio de Janeiro - Porte Algegre,Lockheed 049 Constellation,PP-PCG,2962,50   (passengers:43  crew:7),50   (passengers:43  crew:7),0,The aircraft flew into power lines during a landing attempt after running out of fuel while in a holding pattern.
"July 29, 1950",?,"Tunbukta, Algeria",Cie Air Transport,?,Algiers - Gao,Bristol 170 Freighter 21,F-BENF,12738,26   (passengers:22  crew:4),26   (passengers:22  crew:4),0,An explosion in the left wing fuel tank tore off the upper wing surface leading to loss of control of the aircraft.
"July 30, 1950",?,"Algrete, Brazil","SAVG (S.A. Viacao Gaucha, )
SAVG",?,?,?,?,?,?   (passengers:?  crew:?),10   (passengers:?  crew:?),?,?
"July 30, 1950",05:44,"Karaganda, Russia",Aeroflot,?,?,Ilyushin IL-12,L-1803,93013302,25   (passengers:19  crew:6),25   (passengers:19  crew:6),0,The plane crashed shortly after taking off when the left engine failed.
"August 05, 1950",22:00,"Near Fairfield, California",Military - U.S. Air Force,?,?,Boeing B-29MR,46-87651,?,20   (passengers:?  crew:?),12   (passengers:?  crew:?),7,"The No. 2 propeller began to overspeed during the takeoff. This was followed by overspeeding of the No. 3 propeller. The No. 3 propeller was successfully feathered  but then the landing gear would not retract. The aircraft was unable to gain altitude and the pilot slid the aircraft to the left to avoid a trailer park at the end of the runway. The aircraft stalled, fell to the ground and broke-up.  Killed in the accident was Brigadier General Robert E. Travis. The installation was later renamed Travis Air Force Base in his honor."
"August 22, 1950",02:37,"Near Eagle, Colorado",American Airlines,14,Los Angeles - Chicago,Douglas DC-6,N90705,42858/9,59   (passengers:54  crew:5),1   (passengers:1  crew:0),0,"En route, the No. 3 propeller failed. A propeller blade struck and punctured the fuselage, causing a cabin decompression. A safe landing was carried out at Denver. One passenger who had heart trouble died prior to landing. The internal gouging of a propeller blade during the manufacturing process which resulted in a fatigue fracture and subsequent failure during flight."""
"August 25, 1950",?,"Kampong Jenera, Malaysia",Military - Royal Air Force,?,"Changi, Singapore - Kota Baru",Douglas C-47B,KN630,16538/33286,12   (passengers:?  crew:12),12   (passengers:?  crew:12),0,The plane crashed in the steep forested foothills in the Gua Musang district.
"August 31, 1950",00:03Z,"Near Wadi Natrun, Egypt",Trans World Airlines,903,Cairo - Rome,Lockheed 749A Constellation,N6004C,2636,55   (passengers:48  crew:7),55   (passengers:48  crew:7),0,"While en route from Cairo to Rome, witnesses observed the aircraft on fire. After turning back toward Cairo, it crashed and burned. Failure of the rear master rod bearing in the No. 3 engine that led to an uncontrollable fire. The aircraft was named ""Star of Maryland."""
"September 04, 1950",14:10,"Utica, New York",Robinson Airlines,32,"Utica, NY - Newark, NJ",Douglas DC-3,N18936,2011,23   (passengers:20  crew:3),16   (passengers:13  crew:3),0,"Engine parts were observed falling from a height of 3,000 feet. Soon after, the plane was seen losing altitude until it crashed into trees 1.5 miles southeast of Oneida County Airport. Failure of the left engine shortly after takeoff coupled with increased drag due to loss of the left cowling and reduced power output of the right engine resulting from the high pitch position of the right propeller."
"September 14, 1950",?,"Tehran, Iran",Iran Air,?,?,Douglas DC-3,EP-AAG,9813,8   (passengers:5  crew:3),8   (passengers:5  crew:3),0,Crashed during takeoff.
"September 20, 1950",05:20,"Kwajalein, Marshall Islands",Military - U.S. Navy,?,Kwajzalein - Tokyo,Douglas R5D-3,56496,10624,26   (passengers:19  crew:7),26   (passengers:19  crew:7),0,Crashed into the sea and exploded 3 minutes after taking off from Kwajalein. Possible vertigo experienced by the pilot or malfunction of the instruments.
"September 21, 1950",?,"Near Zagreb, Yugoslavia",JAT Yugoslav Airlines,?,Belgrad - Paula,Douglas DC-3,YU-ABD,13311,11   (passengers:7  crew:4),10   (passengers:6  crew:4),0,Crashed during landing.
"September 23, 1950",?,"Karlstad, Sweden",Svenska Aero,?,Karlstad - Stockholm,Avro Ninteen I,SE-BRS,1321,10   (passengers:9  crew:1),10   (passengers:9  crew:1),0,"Reached an altitude of 200 feet, stalled and crashed to the ground."
"September 26, 1950",01:00,"Near Kyushu Island, Japan",Military - U.S. Air Force,?,Ashiya AB - Kimpo AB,Douglas C-54D-DC (DC-4),42-72457,10562,51   (passengers:43  crew:8),23   (passengers:18  crew:5),0,Crashed in the Korea strait 1mile from the end of the runway after taking off from Ashiya Air Base.
"October 13, 1950",?,"Almelund, Minnisota",Northwest Orient Airlines,?,Training,Martin 202,NC93037,9158,6   (passengers:3  crew:3),6   (passengers:3  crew:3),0,"Crashed after making a steep right turn. The unwanted reversal of the right propeller during flight, as a result of which the crew was unable to maintain control of the aircraft."
"October 13, 1950",?,"Casablanca, Morocco",Air Atlas,?,Casablanca -  Algiers,Douglas DC-3,F-BAXM,20245,7   (passengers:4  crew:3),4   (passengers:1  crew:3),0,?
"October 17, 1950",?,"London, England",British European Airways,?,London - Glasgow,Douglas C-47A,G-AGIW,12186,29   (passengers:24  crew:5),28   (passengers:24  crew:4),0,Crashed into trees on Mill Hill after engine failure during takeoff. Everyone except one flight attendant was killed.
"October 31, 1950",19:54,"London Heathrow, England",British European Airways,?,Paris - London,Vickers 610 Viking-1B,G-AHPN,155,30   (passengers:26  crew:4),28   (passengers:24  crew:4),0,"Crashed in fog in an overshoot after deciding on a go-around. Although it cannot be established with certainty, the probable explanation of the known facts may be that the captain deliberately came down below break-off point and then at 100 ft. or less came into fog which abruptly reduced the visibility of the runway lights and that then and not till then he started overshoot procedure with fatal results."
"November 03, 1950",09:43,"Mont Blanc, France",Air India,245,Bombay - Cairo - Geneva - London,Lockheed 749 Constellation,VT-CQP,2506,48   (passengers:40  crew:8),48   (passengers:40  crew:8),0,"The aircraft crashed in a snowstorm 200 meters below Mont Blanc summit. The crew was warned by a Geneva controller to climb immediately. They acknowledged the message but soon after struck the mountain. The exact cause of the accident remains undetermined. Most likely the aircraft was caught in violent gust while trying to overfly the summit. The plane was named ""Malabar Princess."""
"November 07, 1950",08:15,"Near Butte, Montana",Northwest Orient Airlines,115,Helena - Butte,Martin 202,N93040,9161,21   (passengers:17  crew:4),21   (passengers:17  crew:4),0,"The flight originated at Chicago for Seattle via intermediate stops at Minneapolis, Billings, Great Falls and Helena. The aircraft left Helena at 0753 from runway 29. The aircraft's flight plan was to fly to 10,500 ft. via Amber Airway No .2 to Whitehall Station and to Butte via Red Airway No. 2. At 0801 the flight reported it reached cruising altitude and was headed toward Whitehall Range Station. This message was acknowledged. The next message from the flight was at 08:14 stating that it was over Whitehall Range Station and starting descent. Butte acknowledged this message and  gave the flight the altimeter setting of 29.97, advised that the wind was south, calm, and the ceiling was lower to the east and north and better to the south and southwest. The flight replied that it had vertical visibility at 10,500 feet. This was the last radio contact with the flight. At approximately 0815 the aircraft had struck the eastern slope of a ridge about 30 feet below its crest, at an altitude of about 8,250 feet MSL. The site of impact was approximately 2 1/2 miles east of the control tower at the Butte Airport, and about 1-1/2 miles to the right of the center of the on course signal from Whitehall to Butte. Captain's failure to follow prescribed approach procedures."
"November 13, 1950",18:00,"Mt.  Tete de L'Obiou, France",Curtiss-Reid Flying Services Ltd. (Canada),?,Rome - Paris,Douglas C-54B-1-DC,CF-EDN,10518,52   (passengers:45  crew:7),52   (passengers:45  crew:7),0,"The aircraft drifted 50 miles off the prescribed route and struck Mt. Tete de l'Obiou at 6,740 feet. The pilot probably realized the deviation and tried to take corrective action but did not see the mountain in time."
"November 17, 1950",?,"Surabaya, Indonesia",Garuda Indonesia Airlines,?,?,Douglas DC-3,PK-DPB,19005,23   (passengers:20  crew:3),2   (passengers:0  crew:2),0,Veered off the runway and crashed into a ditch..
"November 21, 1950",?,"Near Moran Junction, Wyoming",New Tribes Mission,?,"Chico, CA - Billings, WY",Douglas DC-3,N74586,19711,21   (passengers:18  crew:3),21   (passengers:18  crew:3),0,"The aircraft  crashed into Mt. Moran at 11,200 ft., in a snowstorm while flying in IMC conditions. The accident was attributed to flight into IMC conditions with probable electrical failure due to a malfunctioning voltage regulator."
"November 23, 1950",?,"Cuzco, Peru",Faucett,?,Maldorado - Quincemil,Douglas DC-3,OB-PAU-201,15992/32740,9   (passengers:5  crew:4),9   (passengers:5  crew:4),0,Crashed into a hill in poor weather conditions while en route.
"November 25, 1950",?,"Khitka, Bhutan",Indamer,?,?,Douglas C-47A,VT-COI,14037/25482,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Failure of the pilots to remain alert and maintain a proper look out resulting in the aircraft flying into the side of a hill.
"December 01, 1950",?,"Near Chamaran, Iran",Iran Air,?,?,Douglas DC-3,EP-AAJ,13572,8   (passengers:7  crew:1),8   (passengers:7  crew:1),0,Flew into a mountain.
"December 08, 1950",?,"Ruig Piner, France",Air Atlas,?,Casablanca - Perpignan,Douglas DC-3,F-BAXY,16100/32848,7   (passengers:4  crew:3),5   (passengers:2  crew:3),0,Flew into a mountain in the Pyrenees.
"December 08, 1950",?,"Bangui, French Equatorial Africa",T.A. Intercontinentaux,?,?,Douglas C-54A,F-BELB,3084,56   (passengers:50  crew:6),46   (passengers:43  crew:3),0,Crashed into a mountain in the Pyrenees 5 minutes after takeoff. Crew error. Excessive low rate of climb at night in an unknown region and premature change of heading.
"December 13, 1950",?,"Katagiri, India",Air India,?,?,Douglas DC-3,VT-CFK,14604/2604,21   (passengers:17  crew:4),21   (passengers:17  crew:4),0,Flew into a mountain due to a navigational error.
