INSTNM,CITY,STABBR,HBCU,MENONLY,WOMENONLY,RELAFFIL,SATVRMID,SATMTMID,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,PCTPELL,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP
Eastwick College-Nutley,Nutley,NJ,0.0,0.0,0.0,0,,,0.0,321.0,0.2991,0.2243,0.4206,0.0125,0.0031,0.0062,0.0,0.0,0.0343,0.4174,1,0.6321,0.7358,0.5492,33800,9500
Empire Beauty School-Jersey City,Jersey City,NJ,0.0,0.0,0.0,0,,,0.0,58.0,0.0517,0.5862,0.3103,0.0172,0.0,0.0,0.0345,0.0,0.0,0.0,0,0.7759999999999999,0.72,0.4507,17800,9768.5
New Brunswick Theological Seminary,New Brunswick,NJ,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,1,,,,,PrivacySuppressed
Robert Fiance Beauty Schools-West New York,West New York,NJ,0.0,0.0,0.0,0,,,0.0,255.0,0.0471,0.0431,0.8471,0.0078,0.0,0.0,0.0078,0.0275,0.0196,0.3882,1,0.4937,0.4633,0.6178,14400,9112
New Jersey Institute of Technology,Newark,NJ,0.0,0.0,0.0,0,550.0,615.0,0.0,6748.0,0.3284,0.092,0.207,0.223,0.0003,0.0004,0.0323,0.0473,0.0692,0.1323,1,0.3755,0.4684,0.184,64500,21500
Ocean County College,Toms River,NJ,0.0,0.0,0.0,0,,,0.0,8086.0,0.7513,0.0613,0.1013,0.0181,0.0028,0.002,0.016,0.0075,0.0397,0.3962,1,0.2825,0.1842,0.2679,32600,11000
P B Cosmetology Education Center,Gloucester,NJ,0.0,0.0,0.0,0,,,0.0,171.0,0.6667,0.1111,0.1813,0.0058,0.0,0.0058,0.0292,0.0,0.0,0.2515,1,0.4467,0.6066,0.2722,20500,9266.5
Parisian Beauty School,Hackensack,NJ,0.0,0.0,0.0,0,,,0.0,369.0,0.3577,0.1111,0.4526,0.0244,0.0054,0.0108,0.0163,0.0136,0.0081,0.3577,1,0.419,0.507,0.4065,17600,7667
Passaic County Community College,Paterson,NJ,0.0,0.0,0.0,0,,,0.0,8479.0,0.1829,0.154,0.5247,0.0532,0.0013,0.0041,0.0063,0.0059,0.0676,0.5991,1,0.5589,0.0601,0.3548,26600,7000
Pennco Tech-Blackwood,Blackwood,NJ,0.0,0.0,0.0,0,,,0.0,601.0,0.5108,0.2296,0.1681,0.0266,0.015,0.0033,0.0116,0.0,0.0349,0.3211,1,0.8242,0.8611,0.4741,35900,9500
Princeton Theological Seminary,Princeton,NJ,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,1,,,,PrivacySuppressed,PrivacySuppressed
Princeton University,Princeton,NJ,0.0,0.0,0.0,0,745.0,755.0,0.0,5258.0,0.4597,0.0772,0.0837,0.2086,0.0011,0.0011,0.042,0.1101,0.0164,0.0,1,0.1285,0.0488,0.0041,77900,7500
Rabbinical College of America,Morristown,NJ,0.0,1.0,0.0,0,,,0.0,206.0,0.8592,0.0097,0.0049,0.0,0.0,0.0,0.0,0.1262,0.0,0.0,1,0.318,0.0,0.0962,26500,PrivacySuppressed
Ramapo College of New Jersey,Mahwah,NJ,0.0,0.0,0.0,0,535.0,555.0,0.0,5447.0,0.6347,0.0569,0.1377,0.065,0.0028,0.002,0.0127,0.011000000000000001,0.0773,0.0857,1,0.2774,0.6391,0.127,46000,22500
Robert Fiance Beauty Schools-Perth Amboy,Perth Amboy,NJ,0.0,0.0,0.0,0,,,0.0,233.0,0.1974,0.1073,0.6009,0.0086,0.0043,0.0,0.0258,0.0343,0.0215,0.5622,1,0.5686,0.5229,0.4663,15800,9459
Rider University,Lawrenceville,NJ,0.0,0.0,0.0,0,505.0,520.0,0.0,4188.0,0.6445,0.1072,0.1137,0.0447,0.0012,0.0019,0.0258,0.0289,0.0322,0.0996,1,0.2577,0.6351,0.1064,49400,26174
Roman Academy of Beauty Culture,Hawthorne,NJ,0.0,0.0,0.0,0,,,0.0,46.0,0.5435,0.1304,0.2826,0.0,0.0,0.0,0.0,0.0,0.0435,0.1522,1,0.6977,0.5349,0.2951,20300,PrivacySuppressed
Rutgers University-Camden,Camden,NJ,0.0,0.0,0.0,0,505.0,520.0,0.0,4801.0,0.5499,0.1654,0.1175,0.0883,0.0006,0.0017,0.0362,0.0144,0.026000000000000002,0.1704,1,0.48100000000000004,0.7166,0.3059,54500,21745
Rutgers University-New Brunswick,New Brunswick,NJ,0.0,0.0,0.0,0,580.0,635.0,0.0,34094.0,0.4327,0.0749,0.1252,0.2579,0.0007,0.0028,0.0329,0.0555,0.0174,0.0534,1,0.2996,0.5236,0.0886,54500,21745
Rutgers University-Newark,Newark,NJ,0.0,0.0,0.0,0,495.0,540.0,0.0,6841.0,0.256,0.1887,0.2554,0.2146,0.0012,0.0041,0.0285,0.0304,0.0212,0.1329,1,0.5185,0.5734,0.2213,54500,21745
St Francis Medical Center-School of Radiologic Technology,Trenton,NJ,0.0,0.0,0.0,1,,,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2667,0.4667,0.5333,,
Saint Francis Medical Center School of Nursing,Trenton,NJ,0.0,0.0,0.0,1,,,0.0,52.0,0.6154,0.1346,0.1154,0.0385,0.0,0.0962,0.0,0.0,0.0,0.0,1,0.0,0.0,0.6964,,
Saint Peter's University,Jersey City,NJ,0.0,0.0,0.0,1,445.0,455.0,0.0,2409.0,0.1997,0.2669,0.3271,0.0722,0.0071,0.0054,0.022000000000000002,0.0212,0.0785,0.1021,1,0.5443,0.6167,0.2331,44300,25000
Salem Community College,Carneys Point,NJ,0.0,0.0,0.0,0,,,0.0,1064.0,0.5357,0.1814,0.0498,0.0103,0.0066,0.0047,0.0479,0.0,0.1635,0.4201,1,0.4492,0.2008,0.2919,26600,11000
Seton Hall University,South Orange,NJ,0.0,0.0,0.0,1,555.0,575.0,0.0,5609.0,0.5031,0.1162,0.182,0.0906,0.0011,0.0025,0.0255,0.0234,0.0556,0.0485,1,0.3036,0.5616,0.0928,53800,25000
Atlantic Beauty & Spa Academy LLC,Egg Harbor Township,NJ,0.0,0.0,0.0,0,,,0.0,131.0,0.4427,0.2672,0.2366,0.0229,0.0,0.0,0.0,0.0,0.0305,0.3206,1,0.6859999999999999,0.6446,0.4267,PrivacySuppressed,9500
College of Saint Elizabeth,Morristown,NJ,0.0,0.0,1.0,1,425.0,418.0,0.0,862.0,0.3666,0.2784,0.1798,0.0325,0.0035,0.0012,0.0151,0.0348,0.0882,0.3585,1,0.3921,0.542,0.4428,44900,23000
Raritan Valley Community College,Branchburg,NJ,0.0,0.0,0.0,0,,,0.0,6579.0,0.5521,0.1,0.1826,0.05,0.0024,0.004,0.0226,0.0269,0.0594,0.5138,1,0.2199,0.0924,0.2783,35900,8625
Stevens Institute of Technology,Hoboken,NJ,0.0,0.0,0.0,0,638.0,703.0,0.0,2842.0,0.6397,0.0236,0.0922,0.0975,0.0011,0.0,0.0,0.0391,0.107,0.0004,1,0.2077,0.6336,0.0134,83700,27532.5
Stockton University,Galloway,NJ,0.0,0.0,0.0,0,540.0,550.0,0.0,7676.0,0.7307,0.0641,0.10300000000000001,0.0541,0.0012,0.0016,0.027999999999999997,0.0027,0.0146,0.0662,1,0.3561,0.6737,0.1541,46700,21500
Talmudical Academy-New Jersey,Adelphia,NJ,0.0,1.0,0.0,0,,,0.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7059,0.0,0.0441,PrivacySuppressed,PrivacySuppressed
Teterboro School of Aeronautics,Teterboro,NJ,0.0,0.0,0.0,0,,,0.0,160.0,0.25,0.0875,0.625,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,1,0.4198,0.5394,0.4904,46200,12000
Thomas Edison State University,Trenton,NJ,0.0,0.0,0.0,0,,,0.0,20143.0,0.5562,0.145,0.0817,0.0386,0.0065,0.0066,0.017,0.0106,0.1379,0.9924,1,0.1226,0.1446,0.8802,46600,9910
The College of New Jersey,Ewing,NJ,0.0,0.0,0.0,0,595.0,620.0,0.0,6407.0,0.6563,0.0518,0.1202,0.10300000000000001,0.0023,0.0031,0.0066,0.0017,0.0549,0.0243,1,0.1751,0.5198,0.0262,56000,23250
Sanford-Brown Institute-Iselin,Iselin,NJ,0.0,0.0,0.0,0,,,0.0,521.0,0.3839,0.1305,0.2668,0.025,0.0,0.0019,0.0077,0.0,0.1843,0.0,1,0.597,0.7356,0.4449,27700,9500
Union County College,Cranford,NJ,0.0,0.0,0.0,0,,,0.0,11234.0,0.1921,0.2727,0.3408,0.0382,0.0041,0.0036,0.0081,0.0307,0.1098,0.5419,1,0.4447,0.1527,0.4157,31300,11575.5
William Paterson University of New Jersey,Wayne,NJ,0.0,0.0,0.0,0,485.0,495.0,0.0,9508.0,0.4484,0.1475,0.2617,0.0653,0.0009,0.0025,0.0252,0.0092,0.0393,0.1728,1,0.4153,0.6657,0.1953,43200,25000
Olympian Academy of Cosmetology,Alamogordo,NM,0.0,0.0,0.0,0,,,0.0,986.0,0.2779,0.2495,0.3955,0.0061,0.0172,0.0,0.0193,0.0,0.0345,0.0,1,0.8292,0.8134,0.4169,17200,11705
Central New Mexico Community College,Albuquerque,NM,0.0,0.0,0.0,0,,,0.0,22767.0,0.3036,0.03,0.4814,0.0211,0.0732,0.0026,0.0221,0.0348,0.0311,0.6419,1,0.3945,0.1769,0.4726,29500,10000
Navajo Technical University,Crownpoint,NM,0.0,0.0,0.0,0,,,0.0,2031.0,0.0025,0.001,0.0034,0.0015,0.9887,0.0,0.0015,0.0,0.0015,0.3289,1,0.8957,0.0,0.4898,18800,PrivacySuppressed
De Wolff College Hair Styling and Cosmetology,Albuquerque,NM,0.0,0.0,0.0,0,,,0.0,80.0,0.275,0.0875,0.5375,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1,0.7113,0.5986,0.5233,15900,8631
New Mexico State University-Dona Ana,Las Cruces,NM,0.0,0.0,0.0,0,,,0.0,6212.0,0.1621,0.0204,0.7336,0.0053,0.0118,0.0008,0.0048,0.0327,0.0285,0.3831,1,0.5247,0.321,0.3498,32800,18340
Clovis Community College,Clovis,NM,0.0,0.0,0.0,0,,,0.0,2028.0,0.4719,0.0597,0.3565,0.0178,0.0059,0.0064,0.0158,0.0,0.0661,0.643,1,0.3287,0.0698,0.5648,25900,7500
Eastern New Mexico University-Main Campus,Portales,NM,0.0,0.0,0.0,0,470.0,495.0,0.0,3731.0,0.4631,0.0525,0.3656,0.0102,0.0252,0.0054,0.0311,0.0249,0.022000000000000002,0.264,1,0.3648,0.3337,0.2728,29300,15750
Eastern New Mexico University-Roswell Campus,Roswell,NM,0.0,0.0,0.0,0,,,0.0,1847.0,0.3557,0.0222,0.529,0.0049,0.0206,0.0,0.0087,0.0276,0.0314,0.5089,1,0.273,0.0428,0.4388,29300,15750
Institute of American Indian and Alaska Native Culture,Santa Fe,NM,0.0,0.0,0.0,0,,,0.0,235.0,0.0468,0.0043,0.0383,0.0043,0.8809,0.0043,0.0,0.017,0.0043,0.2553,1,0.375,0.0,0.3546,22000,PrivacySuppressed
New Mexico Highlands University,Las Vegas,NM,0.0,0.0,0.0,0,,,0.0,2140.0,0.1967,0.0565,0.5743,0.006999999999999999,0.0748,0.0075,0.0121,0.0565,0.0145,0.3005,1,0.5263,0.3765,0.3873,35200,12500
New Mexico Junior College,Hobbs,NM,0.0,0.0,0.0,0,,,0.0,1885.0,0.3607,0.0775,0.4907,0.0058,0.0085,0.0021,0.009000000000000001,0.0058,0.0398,0.6737,1,0.2568,0.11599999999999999,0.3211,29600,6750
New Mexico Military Institute,Roswell,NM,0.0,0.0,0.0,0,450.0,490.0,0.0,459.0,0.3246,0.1852,0.2288,0.0305,0.0109,0.0675,0.061,0.0893,0.0022,0.0,1,0.3255,0.2106,0.0,38800,7577.5
University of New Mexico-Gallup Campus,Gallup,NM,0.0,0.0,0.0,0,,,0.0,1984.0,0.0423,0.004,0.1048,0.005,0.8044,0.001,0.0242,0.0035,0.0106,0.4844,1,0.56,0.2056,0.3951,34900,19576
New Mexico Institute of Mining and Technology,Socorro,NM,0.0,0.0,0.0,0,595.0,620.0,0.0,1525.0,0.5587,0.0236,0.2754,0.0262,0.0302,0.0013,0.04,0.0354,0.0092,0.0544,1,0.2974,0.3965,0.1827,54300,16006
University of New Mexico-Los Alamos Campus,Los Alamos,NM,0.0,0.0,0.0,0,,,0.0,640.0,0.3719,0.0172,0.5063,0.0141,0.0531,0.0047,0.0188,0.0016,0.0125,0.7313,1,0.1384,0.0417,0.4489,34900,19576
University of New Mexico-Main Campus,Albuquerque,NM,0.0,0.0,0.0,0,550.0,553.0,0.0,20261.0,0.3621,0.0261,0.4591,0.0312,0.0566,0.0018,0.0344,0.0124,0.0164,0.2043,1,0.3871,0.4201,0.2616,34900,19576
New Mexico State University-Alamogordo,Alamogordo,NM,0.0,0.0,0.0,0,,,0.0,1073.0,0.4809,0.0494,0.3318,0.0177,0.0336,0.0028,0.0252,0.0298,0.0289,0.3625,1,0.4845,0.3267,0.4959,32800,18340
New Mexico State University-Carlsbad,Carlsbad,NM,0.0,0.0,0.0,0,,,0.0,742.0,0.3935,0.0148,0.5216,0.0135,0.0081,0.0013,0.0121,0.0081,0.027000000000000003,0.4057,1,0.3143,0.1687,0.3251,32800,18340
New Mexico State University-Grants,Grants,NM,0.0,0.0,0.0,0,,,0.0,403.0,0.1563,0.005,0.3747,0.0074,0.3821,0.0,0.0273,0.0,0.0471,0.4417,1,0.5237,0.2608,0.4464,32800,18340
New Mexico State University-Main Campus,Las Cruces,NM,0.0,0.0,0.0,0,468.0,490.0,0.0,12171.0,0.3084,0.0306,0.5352,0.0119,0.0243,0.0024,0.0154,0.0437,0.0281,0.1315,1,0.4191,0.4002,0.2374,32800,18340
University of New Mexico-Valencia County Campus,Los Lunas,NM,0.0,0.0,0.0,0,,,0.0,1732.0,0.2852,0.0104,0.6184,0.0052,0.0329,0.0012,0.0185,0.0064,0.0219,0.4994,1,0.4539,0.2352,0.3595,34900,19576
Northern New Mexico College,Espanola,NM,0.0,0.0,0.0,0,,,0.0,925.0,0.12,0.027000000000000003,0.6951,0.0086,0.1027,0.0011,0.0389,0.0022,0.0043,0.32,1,0.4270000000000001,0.071,0.3751,27500,7000
San Juan College,Farmington,NM,0.0,0.0,0.0,0,,,0.0,5925.0,0.4165,0.0111,0.1531,0.0069,0.3519,0.0019,0.0111,0.0078,0.0397,0.5426,1,0.3147,0.0981,0.593,30400,9260.5
Santa Fe Community College,Santa Fe,NM,0.0,0.0,0.0,0,,,0.0,3729.0,0.3475,0.0193,0.5267,0.0147,0.0359,0.0016,0.0131,0.0013,0.0397,0.6042,1,0.297,0.1181,0.6441,31600,16500
Santa Fe University of Art and Design,Santa Fe,NM,0.0,0.0,0.0,0,,,0.0,839.0,0.4529,0.0703,0.2765,0.0191,0.025,0.0179,0.0751,0.0501,0.0131,0.0346,1,0.3559,0.5775,0.1053,35400,25000
University of the Southwest,Hobbs,NM,0.0,0.0,0.0,0,,,0.0,366.0,0.1639,0.12300000000000001,0.4372,0.0055,0.0109,0.0082,0.0,0.0055,0.2459,0.3497,1,0.4182,0.5472,0.3396,40100,24899
Southwestern Indian Polytechnic Institute,Albuquerque,NM,0.0,0.0,0.0,0,,,0.0,475.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1137,1,0.5019,0.0,0.3943,20100,PrivacySuppressed
University of New Mexico-Taos Campus,Ranchos de Taos,NM,0.0,0.0,0.0,0,,,0.0,910.0,0.2648,0.0088,0.6077,0.0011,0.0736,0.0011,0.022000000000000002,0.0055,0.0154,0.4868,1,0.3191,0.187,0.3996,34900,19576
Mesalands Community College,Tucumcari,NM,0.0,0.0,0.0,0,,,0.0,744.0,0.3723,0.0121,0.4556,0.004,0.0269,0.0,0.0,0.0013,0.1277,0.6586,1,0.2826,0.0,0.429,21200,PrivacySuppressed
Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,0.0,0.0,0.0,0,,,0.0,72.0,0.0833,0.0,0.8333,0.0,0.0833,0.0,0.0,0.0,0.0,0.0694,1,0.4478,0.7985,0.5,,10706
Western New Mexico University,Silver City,NM,0.0,0.0,0.0,0,,,0.0,2105.0,0.2741,0.0494,0.5273,0.0152,0.0309,0.0014,0.0062,0.0171,0.0784,0.2451,1,0.4788,0.4075,0.3177,31300,17750
Vaughn College of Aeronautics and Technology,Flushing,NY,0.0,0.0,0.0,0,,,0.0,1605.0,0.1333,0.2168,0.3751,0.1153,0.005,0.0343,0.0467,0.0206,0.053,0.2143,1,0.652,0.6792,0.4142,48700,22625
Adelphi University,Garden City,NY,0.0,0.0,0.0,0,550.0,565.0,0.0,5036.0,0.5409,0.1015,0.1418,0.0808,0.0012,0.0006,0.0208,0.0381,0.0743,0.0913,1,0.3079,0.5982,0.1562,51300,25000
Adirondack Community College,Queensbury,NY,0.0,0.0,0.0,0,,,0.0,3535.0,0.8976,0.0331,0.0337,0.0074,0.0048,0.0006,0.0201,0.002,0.0008,0.2928,1,0.4395,0.3948,0.2775,29700,12000
Globe Institute of Technology,New York,NY,0.0,0.0,0.0,0,,,0.0,490.0,0.098,0.5265,0.249,0.0286,0.002,0.0,0.0,0.0939,0.002,0.0429,1,0.8097,0.4237,0.2711,28900,8229
Bryant & Stratton College-Albany,Albany,NY,0.0,0.0,0.0,0,,,0.0,480.0,0.4771,0.3271,0.1188,0.0125,0.0146,0.0021,0.0458,0.0021,0.0,0.4042,1,0.7966,0.8638,0.5776,22400,24200
Albany College of Pharmacy and Health Sciences,Albany,NY,0.0,0.0,0.0,0,555.0,610.0,0.0,1076.0,0.6375,0.0344,0.0455,0.1413,0.0037,0.0009,0.0084,0.0669,0.0613,0.0195,1,0.2301,0.8154,0.1039,118800,26144
Albany Law School,Albany,NY,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,1,,,,72400,PrivacySuppressed
Albany Medical College,Albany,NY,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,1,,,,214400,PrivacySuppressed
Alfred University,Alfred,NY,0.0,0.0,0.0,0,520.0,535.0,0.0,1842.0,0.6911,0.0787,0.0706,0.0212,0.0016,0.0,0.0266,0.0185,0.0917,0.0179,1,0.3929,0.7872,0.0311,41600,27000
Allen School-Brooklyn,Brooklyn,NY,0.0,0.0,0.0,0,,,0.0,476.0,0.021,0.708,0.1618,0.0063,0.0105,0.0021,0.0126,0.0,0.0777,0.0,1,0.6957,0.5794,0.6146,28800,9500
The Ailey School,New York,NY,0.0,0.0,0.0,0,,,0.0,96.0,0.1667,0.1563,0.0521,0.0208,0.0,0.0,0.1042,0.4583,0.0417,0.0,1,0.1978,0.4396,0.0879,PrivacySuppressed,PrivacySuppressed
American Academy of Dramatic Arts-New York,New York,NY,0.0,0.0,0.0,0,,,0.0,253.0,0.4071,0.1304,0.0711,0.0079,0.0,0.0,0.0435,0.3004,0.0395,0.0,1,0.3073,0.4495,0.1019,27800,12000
American Academy McAllister Institute of Funeral Service,New York,NY,0.0,0.0,0.0,0,,,0.0,424.0,0.5684,0.2264,0.0967,0.0189,0.0094,0.0142,0.0,0.0,0.066,0.7925,1,0.3407,0.5613,0.7279,34200,16225
Joffrey Ballet School,New York,NY,0.0,0.0,0.0,0,,,0.0,262.0,0.5649,0.0802,0.0344,0.0115,0.0,0.0,0.0,0.3092,0.0,0.0,1,0.1174,0.2261,0.0174,,PrivacySuppressed
American Musical and Dramatic Academy,New York,NY,0.0,0.0,0.0,0,,,0.0,1735.0,0.41100000000000003,0.1654,0.1833,0.0173,0.0098,0.0035,0.0905,0.0553,0.064,0.0,1,0.3795,0.6799,0.0454,26800,12000
Apex Technical School,Long Island City,NY,0.0,0.0,0.0,0,,,0.0,1259.0,0.0683,0.3058,0.2089,0.0294,0.0071,0.0,0.0,0.0,0.3805,0.2613,1,0.6707,0.5861,0.5797,33200,9500
Arnot Ogden Medical Center,Elmira,NY,0.0,0.0,0.0,0,,,0.0,70.0,0.9571,0.0286,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.1143,1,0.4375,0.7,0.3418,44900,19500
Associated Beth Rivkah Schools,Brooklyn,NY,0.0,0.0,0.0,0,,,0.0,147.0,0.9116,0.0,0.0,0.0,0.0,0.0,0.0,0.0884,0.0,0.0,1,0.8396,0.0,0.0472,10100,PrivacySuppressed
Austin's School of Spa Technology,Albany,NY,0.0,0.0,0.0,0,,,0.0,283.0,0.5124,0.2191,0.1378,0.0177,0.0071,0.0071,0.0742,0.0,0.0247,0.0,0,0.5704,0.6796,0.5444,17200,6331
Bank Street College of Education,New York,NY,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,1,,,,PrivacySuppressed,PrivacySuppressed
Bard College,Annandale-On-Hudson,NY,0.0,0.0,0.0,0,,,0.0,2021.0,0.6309,0.0727,0.0139,0.0554,0.0064,0.0,0.0,0.1089,0.1118,0.0193,1,0.2135,0.5079,0.0839,38700,25750
Barnard College,New York,NY,0.0,0.0,1.0,0,680.0,665.0,0.0,2556.0,0.5501,0.0657,0.1111,0.1432,0.0004,0.0004,0.052000000000000005,0.0736,0.0035,0.011000000000000001,1,0.1832,0.3254,0.0064,56800,16725
Berk Trade and Business School,Long Island City,NY,0.0,0.0,0.0,0,,,0.0,243.0,0.1523,0.3992,0.3951,0.0206,0.0,0.0082,0.0206,0.0,0.0041,0.0,1,0.9015,0.8388,0.5434,31600,6333
Berkeley College-New York,New York,NY,0.0,0.0,0.0,0,,,0.0,4388.0,0.0754,0.2719,0.2067,0.0308,0.0046,0.0032,0.0002,0.168,0.2393,0.1153,1,0.6319,0.7078,0.4204,39000,29252.5
Beth Hatalmud Rabbinical College,Brooklyn,NY,0.0,1.0,0.0,0,,,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.617,0.0,0.0,PrivacySuppressed,PrivacySuppressed
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,0.0,1.0,0.0,0,,,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5306,0.0,0.0,PrivacySuppressed,PrivacySuppressed
Phillips Beth Israel School of Nursing,New York,NY,0.0,0.0,0.0,0,,,0.0,278.0,0.4317,0.2482,0.1223,0.1259,0.0,0.0683,0.0,0.0036,0.0,0.8993,1,0.2491,0.5502,0.7323,PrivacySuppressed,16000
Hair Design Institute at Fifth Avenue-Brooklyn,Brooklyn,NY,0.0,0.0,0.0,0,,,0.0,129.0,0.1938,0.4884,0.1938,0.0465,0.0,0.0,0.031,0.0233,0.0233,0.5349,1,0.5102,0.3197,0.415,16700,7637
Boricua College,New York,NY,0.0,0.0,0.0,0,,,0.0,1104.0,0.0063,0.1422,0.8315,0.0,0.0,0.0027,0.0,0.0,0.0172,0.0,1,0.9257,0.1362,0.5895,31300,7245
Bramson ORT College,Forest Hills,NY,0.0,0.0,0.0,0,,,0.0,560.0,0.3482,0.1625,0.2,0.2286,0.0,0.0,0.0,0.0125,0.0482,0.0696,1,0.7085,0.0729,0.4849,27600,8550
Briarcliffe College,Bethpage,NY,0.0,0.0,0.0,0,,,0.0,1719.0,0.2478,0.1699,0.0564,0.0116,0.0029,0.0006,0.013999999999999999,0.0,0.4968,0.21,1,0.6195,0.8446,0.5095,38200,28720.5
Brittany Beauty School,Levittown,NY,0.0,0.0,0.0,0,,,0.0,140.0,0.7357,0.0857,0.1643,0.0071,0.0071,0.0,0.0,0.0,0.0,0.3143,1,0.5,0.7418,0.5694,17000,8025
American Beauty School,Bronx,NY,0.0,0.0,0.0,0,,,0.0,201.0,0.0249,0.3781,0.5721,0.01,0.0,0.0,0.0,0.0,0.0149,0.602,1,0.8533,0.8443,0.5567,PrivacySuppressed,3219
Brooklyn Law School,Brooklyn,NY,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,1,,,,110700,PrivacySuppressed
SUNY Broome Community College,Binghamton,NY,0.0,0.0,0.0,0,,,0.0,5556.0,0.5844,0.025,0.0529,0.0059,0.0018,0.0,0.0022,0.0319,0.2959,0.2277,1,0.4983,0.4725,0.3276,30200,11500
Bryant & Stratton College-Amherst,Getzville,NY,0.0,0.0,0.0,0,,,0.0,340.0,0.7029,0.2059,0.0265,0.0147,0.0059,0.0029,0.0382,0.0029,0.0,0.3706,1,0.7506,0.862,0.5908,22400,24200
Bryant & Stratton College-Syracuse North,Liverpool,NY,0.0,0.0,0.0,0,,,0.0,466.0,0.8562,0.0837,0.0172,0.0064,0.0193,0.0021,0.015,0.0,0.0,0.3369,1,0.7406,0.8337,0.6084,22400,24200
Bryant & Stratton College-Syracuse,Syracuse,NY,0.0,0.0,0.0,0,,,0.0,503.0,0.3976,0.4155,0.0815,0.008,0.0179,0.002,0.0775,0.0,0.0,0.2266,1,0.8697,0.8391,0.4713,22400,24200
Bryant & Stratton College-Buffalo,Buffalo,NY,0.0,0.0,0.0,0,,,0.0,671.0,0.1535,0.6751,0.1133,0.006,0.0104,0.0015,0.0387,0.0015,0.0,0.3607,1,0.873,0.8419,0.5851,22400,24200
Bryant & Stratton College-Greece,Rochester,NY,0.0,0.0,0.0,0,,,0.0,401.0,0.4813,0.3342,0.1372,0.0075,0.005,0.0,0.0349,0.0,0.0,0.2743,1,0.8299,0.8479,0.5424,22400,24200
Business Informatics Center Inc,Valley Stream,NY,0.0,0.0,0.0,0,,,0.0,24.0,0.5417,0.2917,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0,0.5,0.5179,0.625,26700,PrivacySuppressed
Canisius College,Buffalo,NY,0.0,0.0,0.0,1,530.0,545.0,0.0,2736.0,0.7445,0.0705,0.0504,0.0212,0.0022,0.0007,0.0172,0.0446,0.0486,0.0132,1,0.2964,0.6715,0.0373,45700,25000
Capri Cosmetology Learning Centers,Nanuet,NY,0.0,0.0,0.0,0,,,0.0,223.0,0.5874,0.1435,0.2197,0.0045,0.0,0.0,0.0269,0.0045,0.0135,0.3184,1,0.3216,0.3744,0.395,22700,6333
St Paul's School of Nursing-Queens,Rego Park,NY,0.0,0.0,0.0,0,,,0.0,504.0,0.1448,0.3036,0.1905,0.0952,0.004,0.0179,0.0496,0.0,0.1944,0.375,1,0.2618,0.8024,0.6943,75800,20063
Cayuga County Community College,Auburn,NY,0.0,0.0,0.0,0,,,0.0,2720.0,0.8412,0.0643,0.039,0.0055,0.0037,0.0004,0.0228,0.0147,0.0085,0.2585,1,0.4463,0.3823,0.3134,29700,11028
Cazenovia College,Cazenovia,NY,0.0,0.0,0.0,0,,,0.0,1067.0,0.6682,0.0731,0.0609,0.0075,0.0084,0.0028,0.0422,0.0,0.1368,0.0975,1,0.4327,0.8124,0.1058,32100,25500
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,0.0,1.0,0.0,0,,,0.0,613.0,0.9054,0.0,0.0,0.0,0.0,0.0,0.0,0.0946,0.0,0.0,1,0.6077,0.0,0.0046,22100,PrivacySuppressed
Cheryl Fells School of Business,Niagara Falls,NY,0.0,0.0,0.0,0,,,0.0,72.0,0.2361,0.7361,0.0139,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,1,0.9412,0.9176,0.875,PrivacySuppressed,16500
Christ the King Seminary,East Aurora,NY,0.0,0.0,0.0,1,,,0.0,,,,,,,,,,,,1,,,,,
