carat,cut,color,clarity,depth,table,price,x,y,z
0.8,Very Good,F,SI1,63.5,55.0,2914,5.86,5.89,3.73
0.73,Ideal,E,SI1,61.4,58.0,2914,5.76,5.8,3.55
0.83,Very Good,I,VS2,62.0,55.0,2915,6.03,6.06,3.74
0.77,Very Good,G,SI1,63.6,57.0,2915,5.79,5.88,3.71
0.8,Very Good,G,SI2,62.0,55.0,2915,5.94,6.01,3.7
0.71,Ideal,F,VS2,62.2,56.0,2915,5.74,5.71,3.56
0.73,Very Good,H,VS1,60.8,57.0,2916,5.8,5.83,3.54
0.93,Ideal,I,SI1,62.0,57.0,2917,6.22,6.26,3.87
0.74,Premium,F,VS1,62.5,60.0,2917,5.78,5.74,3.6
0.7,Ideal,E,VS2,62.5,58.0,2917,5.63,5.67,3.53
0.71,Ideal,F,VS2,61.2,56.0,2917,5.77,5.73,3.52
0.71,Very Good,F,VS2,59.5,58.0,2918,5.82,5.87,3.48
0.8,Very Good,H,VS2,61.2,53.0,2918,5.98,6.05,3.68
0.71,Ideal,H,VVS1,62.1,54.0,2918,5.7,5.76,3.56
0.72,Ideal,I,VS2,61.8,55.0,2918,5.75,5.79,3.56
0.83,Very Good,D,SI2,63.1,57.0,2918,5.95,5.9,3.74
0.72,Very Good,G,VS1,60.5,57.0,2919,5.8,5.83,3.52
0.8,Very Good,H,SI1,62.5,56.0,2919,5.92,5.96,3.71
0.73,Premium,G,VVS2,62.2,56.0,2919,5.79,5.75,3.59
0.7,Good,F,VS1,63.8,58.0,2919,5.61,5.58,3.57
0.73,Ideal,H,VS1,61.9,55.0,2919,5.79,5.76,3.58
0.73,Ideal,G,VVS2,61.9,55.0,2919,5.83,5.77,3.59
0.71,Premium,E,VS1,59.7,57.0,2920,5.87,5.78,3.48
0.72,Ideal,F,SI1,61.0,55.0,2920,5.78,5.85,3.55
0.71,Premium,F,VS1,59.1,59.0,2920,5.88,5.83,3.46
0.71,Ideal,F,VS1,62.6,55.0,2920,5.71,5.67,3.56
0.74,Very Good,H,VVS2,60.5,60.0,2921,5.79,5.81,3.51
0.71,Very Good,E,VS2,59.9,59.0,2921,5.77,5.81,3.47
0.71,Very Good,E,VS2,60.7,60.0,2921,5.75,5.78,3.5
0.71,Very Good,D,SI1,60.1,60.0,2921,5.76,5.79,3.47
0.65,Ideal,F,VVS2,61.3,56.0,2921,5.58,5.61,3.43
0.9,Fair,I,VS2,64.1,66.0,2921,6.04,5.98,3.85
0.71,Very Good,E,VS2,63.7,58.0,2922,5.6,5.64,3.58
0.71,Very Good,E,VS2,63.3,59.0,2922,5.62,5.66,3.57
0.68,Very Good,F,VS1,59.7,57.0,2922,5.79,5.76,3.45
0.53,Ideal,F,VVS1,61.6,56.0,2922,5.24,5.18,3.21
0.77,Ideal,D,SI2,60.6,56.0,2922,5.95,5.9,3.59
0.72,Very Good,E,VS2,63.0,57.0,2923,5.69,5.73,3.6
0.72,Very Good,E,VS2,63.2,58.0,2923,5.67,5.72,3.6
0.7,Very Good,E,SI1,61.8,59.0,2923,5.63,5.69,3.5
0.75,Very Good,E,SI1,62.3,58.0,2923,5.78,5.81,3.61
0.75,Very Good,E,SI1,61.5,58.0,2923,5.82,5.86,3.59
0.87,Ideal,H,SI1,62.5,57.0,2923,6.13,6.06,3.81
0.71,Ideal,E,VS1,62.4,54.0,2923,5.71,5.74,3.57
0.77,Ideal,D,SI2,60.2,56.0,2923,5.98,6.04,3.62
0.78,Ideal,F,SI1,61.1,56.0,2923,5.94,5.98,3.64
0.75,Good,E,SI1,58.3,60.0,2923,5.94,5.99,3.48
0.9,Premium,I,VS2,58.7,60.0,2923,6.35,6.28,3.7
0.7,Ideal,I,VS1,61.5,56.0,2924,5.71,5.75,3.52
0.8,Very Good,D,SI1,58.2,63.0,2925,6.07,6.03,3.52
0.7,Very Good,F,VS1,64.5,58.0,2925,5.55,5.59,3.59
0.51,Very Good,E,IF,63.3,58.0,2925,5.03,5.08,3.2
0.71,Ideal,I,IF,61.5,56.0,2925,5.74,5.77,3.54
1.02,Ideal,I,I1,61.7,56.0,2925,6.49,6.44,3.99
1.2,Premium,I,I1,60.5,58.0,2925,6.9,6.79,4.14
0.81,Good,D,SI2,63.6,55.0,2926,5.91,5.86,3.74
0.81,Premium,F,SI1,61.2,56.0,2926,6.03,6.0,3.68
0.81,Premium,F,SI1,61.3,60.0,2926,6.0,5.94,3.66
0.77,Very Good,H,VS1,63.3,57.0,2927,5.79,5.83,3.68
0.8,Ideal,I,SI1,59.4,58.0,2927,6.07,6.09,3.61
0.9,Premium,H,SI2,59.5,60.0,2927,6.32,6.29,3.75
0.7,Very Good,F,VS2,61.3,54.0,2928,5.72,5.76,3.52
0.7,Very Good,D,VS2,60.8,59.0,2928,5.67,5.71,3.46
0.74,Very Good,E,SI1,61.0,58.0,2929,5.82,5.85,3.56
0.8,Very Good,G,VS2,61.1,57.0,2929,6.01,6.07,3.69
0.7,Ideal,G,VS2,61.8,57.0,2929,5.68,5.71,3.52
0.7,Ideal,E,SI1,60.1,57.0,2929,5.78,5.83,3.49
0.71,Very Good,E,VS2,61.3,60.0,2930,5.74,5.71,3.51
0.7,Premium,E,VS1,60.3,58.0,2930,5.7,5.74,3.45
0.7,Ideal,E,VS1,62.3,54.0,2930,5.67,5.72,3.55
0.71,Ideal,F,VS2,62.3,57.0,2930,5.69,5.74,3.56
0.71,Ideal,G,VS1,62.7,57.0,2930,5.69,5.73,3.58
0.71,Ideal,G,VS1,62.6,57.0,2930,5.67,5.7,3.56
0.9,Very Good,E,SI2,58.7,63.0,2930,6.23,6.2,3.65
0.9,Fair,E,SI2,65.0,58.0,2930,6.08,6.04,3.94
0.71,Ideal,G,VVS1,61.7,57.0,2930,5.75,5.7,3.53
0.7,Very Good,G,VVS2,60.8,57.0,2931,5.72,5.76,3.49
0.72,Very Good,F,VS2,63.3,57.0,2931,5.69,5.72,3.61
0.72,Ideal,F,VS2,61.8,59.0,2931,5.71,5.74,3.54
0.7,Premium,G,VVS1,62.0,61.0,2932,5.71,5.62,3.51
0.7,Premium,F,VVS2,61.0,57.0,2932,5.8,5.71,3.51
0.7,Very Good,F,VVS2,63.2,58.0,2932,5.66,5.6,3.56
0.72,Very Good,G,VVS2,62.2,57.0,2933,5.67,5.72,3.54
0.59,Very Good,D,VVS2,60.6,59.0,2933,5.44,5.49,3.31
0.73,Premium,F,VS2,59.9,58.0,2933,5.84,5.87,3.51
0.75,Ideal,F,VS2,62.3,57.0,2933,5.81,5.87,3.64
0.75,Good,D,SI2,57.6,56.0,2933,5.98,6.07,3.47
0.9,Good,H,SI2,62.7,64.0,2934,6.0,6.09,3.79
0.71,Ideal,D,SI2,62.0,54.0,2934,5.77,5.74,3.57
0.91,Premium,H,SI1,60.2,52.0,2935,6.27,6.15,3.74
1.17,Fair,I,I1,65.4,62.0,2935,6.68,6.57,4.33
0.8,Premium,H,VS1,62.0,60.0,2935,5.92,5.86,3.65
0.7,Very Good,G,VVS2,61.8,60.0,2936,5.63,5.69,3.5
0.81,Very Good,H,SI1,60.2,58.0,2936,6.06,6.1,3.66
0.74,Ideal,F,VS2,60.5,59.0,2936,5.81,5.86,3.53
0.7,Ideal,D,SI2,62.6,54.0,2936,5.69,5.72,3.57
0.82,Ideal,E,SI2,62.1,56.0,2937,6.01,5.98,3.72
0.76,Premium,E,SI1,58.3,62.0,2937,6.12,5.95,3.52
0.76,Premium,G,VS1,59.6,57.0,2937,6.01,5.91,3.55
0.95,Premium,G,SI2,58.8,60.0,2937,6.35,6.31,3.72
0.71,Very Good,H,VVS1,62.7,57.0,2938,5.66,5.72,3.57
0.71,Very Good,H,VVS1,62.7,59.0,2938,5.65,5.67,3.55
0.81,Ideal,E,SI2,60.2,57.0,2938,6.1,6.06,3.66
0.73,Very Good,F,VS2,62.7,58.0,2939,5.73,5.75,3.6
0.73,Very Good,G,VS1,60.7,57.0,2939,5.76,5.83,3.52
0.83,Very Good,F,SI2,61.9,56.0,2939,5.99,6.02,3.72
0.77,Premium,D,SI1,59.5,60.0,2939,6.01,5.95,3.56
0.8,Ideal,E,SI2,60.8,56.0,2939,6.02,6.01,3.66
0.73,Ideal,F,VS2,62.7,58.0,2939,5.72,5.77,3.6
0.72,Ideal,E,SI2,62.4,57.0,2939,5.71,5.74,3.57
0.75,Ideal,G,VS2,60.6,55.0,2939,5.93,5.91,3.59
0.8,Premium,E,SI2,59.9,58.0,2939,6.03,5.96,3.59
0.81,Ideal,I,VS2,61.8,56.0,2939,6.02,5.99,3.71
0.82,Premium,H,VS2,62.6,59.0,2939,5.99,5.93,3.73
0.7,Good,F,VVS2,63.1,57.0,2940,5.59,5.66,3.55
1.24,Very Good,J,I1,61.9,55.0,2940,6.85,6.92,4.26
0.7,Very Good,F,VVS2,62.6,59.0,2940,5.6,5.64,3.52
0.7,Ideal,F,VS1,61.2,54.0,2940,5.92,5.64,3.54
0.75,Fair,E,VS2,56.0,67.0,2940,6.18,6.08,3.43
1.0,Good,H,I1,57.6,61.0,2940,6.67,6.6,3.82
0.75,Ideal,E,VS2,61.6,57.0,2940,5.84,5.81,3.59
0.7,Ideal,E,VS2,61.5,56.0,2940,5.73,5.68,3.51
0.79,Very Good,E,SI2,59.2,59.0,2941,6.04,6.06,3.58
0.8,Good,F,SI1,63.8,59.0,2941,5.83,5.87,3.73
0.81,Very Good,F,SI2,62.7,58.0,2942,5.92,5.95,3.72
0.71,Premium,F,VS1,61.1,58.0,2942,5.76,5.72,3.51
1.03,Fair,G,SI2,65.7,59.0,2942,6.3,6.24,4.12
0.7,Ideal,F,VS2,60.8,56.0,2942,5.78,5.79,3.52
0.76,Premium,D,SI1,61.6,59.0,2942,5.84,5.82,3.59
1.01,Fair,G,SI2,67.1,59.0,2942,6.27,6.19,4.18
0.73,Ideal,D,SI1,61.4,56.0,2943,5.82,5.78,3.56
0.72,Ideal,F,VS2,62.0,56.0,2943,5.77,5.75,3.57
0.74,Very Good,H,VVS2,61.3,58.0,2944,5.8,5.85,3.57
0.79,Ideal,G,SI1,61.6,55.0,2944,5.96,5.98,3.68
0.57,Very Good,D,VVS1,60.4,57.0,2945,5.39,5.44,3.27
0.79,Very Good,H,VS2,61.5,55.0,2945,5.89,5.94,3.64
0.78,Very Good,D,SI1,62.4,58.0,2945,5.86,5.9,3.67
0.85,Good,G,SI1,64.9,56.0,2945,5.95,5.98,3.87
0.71,Very Good,E,VS1,63.3,59.0,2946,5.64,5.67,3.58
0.71,Very Good,E,VS1,62.7,57.0,2946,5.69,5.73,3.58
0.72,Ideal,H,VVS1,62.2,56.0,2946,5.72,5.75,3.57
0.72,Ideal,H,VVS1,62.5,57.0,2946,5.7,5.73,3.57
0.77,Ideal,I,SI1,61.5,56.0,2946,5.9,5.93,3.64
0.79,Ideal,E,SI1,62.3,55.0,2946,5.9,5.94,3.69
0.78,Very Good,H,VS1,61.7,56.0,2947,5.92,5.94,3.66
0.76,Ideal,E,VS1,62.1,57.0,2947,5.82,5.87,3.63
0.92,Ideal,H,SI2,58.5,57.0,2947,6.37,6.34,3.72
0.73,Premium,D,VS2,60.9,59.0,2947,5.82,5.77,3.53
0.7,Ideal,H,VVS1,61.2,57.0,2947,5.69,5.72,3.49
0.7,Ideal,H,VVS1,60.5,58.0,2947,5.76,5.81,3.5
0.74,Ideal,I,VS1,62.0,56.0,2947,5.79,5.82,3.6
0.74,Ideal,I,VS1,61.1,57.0,2947,5.83,5.86,3.57
0.73,Ideal,D,SI1,61.2,57.0,2947,5.79,5.81,3.55
0.82,Good,H,VS2,62.4,54.0,2947,5.97,6.04,3.75
0.9,Premium,I,SI1,60.9,56.0,2947,6.26,6.21,3.8
0.73,Ideal,G,VS1,61.7,55.0,2948,5.8,5.84,3.59
0.7,Ideal,E,SI1,62.0,56.0,2948,5.68,5.7,3.53
0.9,Premium,I,SI2,62.5,58.0,2948,6.15,6.1,3.83
0.9,Fair,I,SI2,66.4,60.0,2948,5.92,5.86,3.91
0.9,Premium,I,SI2,60.6,60.0,2948,6.28,6.23,3.79
0.9,Ideal,I,SI2,62.0,56.0,2948,6.2,6.16,3.83
1.0,Fair,E,SI2,65.8,58.0,2948,6.28,6.16,4.09
0.72,Very Good,E,VS2,63.0,56.0,2949,5.66,5.73,3.59
0.76,Ideal,E,SI1,61.7,57.0,2949,5.84,5.89,3.62
0.77,Ideal,D,SI1,62.6,57.0,2949,5.81,5.92,3.67
0.72,Ideal,H,VS1,62.3,55.0,2949,5.72,5.74,3.57
0.99,Fair,J,SI1,58.0,67.0,2949,6.57,6.5,3.79
0.81,Very Good,I,VS1,62.7,58.0,2950,5.9,5.96,3.72
0.71,Ideal,G,VS1,62.4,57.0,2950,5.68,5.73,3.56
0.71,Premium,D,VS2,62.1,60.0,2950,5.72,5.68,3.54
0.54,Ideal,F,VVS1,61.6,55.0,2951,5.27,5.28,3.25
0.72,Very Good,D,VS1,62.7,58.0,2951,5.65,5.68,3.55
0.81,Ideal,H,SI1,62.3,58.0,2951,5.95,5.96,3.71
0.73,Ideal,F,SI1,61.6,55.0,2951,5.77,5.81,3.56
0.72,Ideal,E,SI1,61.0,56.0,2951,5.84,5.79,3.55
0.7,Very Good,E,VS2,62.4,58.0,2952,5.66,5.68,3.54
0.7,Very Good,E,VS2,63.4,59.0,2952,5.63,5.67,3.58
0.7,Very Good,E,VS2,61.8,59.0,2952,5.63,5.67,3.49
0.7,Very Good,E,VS1,61.3,60.0,2952,5.68,5.7,3.49
0.72,Ideal,G,VS2,61.5,55.0,2952,5.76,5.79,3.55
0.72,Ideal,G,VS2,61.4,55.0,2952,5.76,5.8,3.55
0.7,Ideal,E,VS2,61.9,58.0,2952,5.7,5.73,3.54
0.7,Ideal,E,VS2,62.6,57.0,2952,5.63,5.68,3.54
0.7,Ideal,E,VS2,62.1,55.0,2952,5.71,5.75,3.56
0.74,Ideal,I,IF,62.1,53.9,2952,5.79,5.81,3.6
0.7,Good,E,VS1,61.0,61.0,2952,5.69,5.72,3.48
0.8,Very Good,H,VS2,59.1,59.0,2953,6.02,6.07,3.57
0.79,Premium,F,VS2,63.0,59.0,2953,5.84,5.8,3.66
0.75,Good,F,VS1,64.4,59.0,2953,5.67,5.72,3.66
0.71,Very Good,E,VS2,59.6,60.0,2954,5.8,5.85,3.47
0.72,Ideal,D,SI1,61.9,55.0,2954,5.75,5.78,3.57
0.72,Premium,E,VS2,61.1,59.0,2954,5.75,5.8,3.53
0.72,Premium,D,SI1,61.4,59.0,2954,5.71,5.79,3.53
0.75,Ideal,D,SI1,62.3,57.0,2954,5.8,5.83,3.62
0.82,Very Good,D,SI1,63.1,58.0,2954,5.97,5.95,3.76
0.76,Ideal,G,VS2,61.7,54.0,2954,5.88,5.92,3.64
0.89,Premium,I,VS1,62.2,62.0,2955,6.14,6.02,3.78
0.7,Very Good,F,VS2,62.4,57.0,2956,5.67,5.71,3.55
0.74,Very Good,H,VS1,61.4,56.0,2956,5.81,5.84,3.57
0.74,Very Good,H,VS1,62.3,56.0,2956,5.75,5.78,3.59
0.95,Good,I,SI2,63.8,57.0,2956,6.13,6.23,3.94
0.91,Very Good,J,SI1,62.8,59.0,2956,6.14,6.19,3.87
0.7,Ideal,F,VS2,60.8,57.0,2956,5.75,5.77,3.5
0.71,Good,F,VVS2,58.2,60.0,2956,5.89,5.94,3.44
0.7,Premium,D,VS1,60.4,58.0,2956,5.78,5.71,3.47
0.72,Ideal,F,VS2,62.6,56.0,2956,5.75,5.72,3.59
0.72,Ideal,F,VS2,62.2,56.0,2956,5.75,5.73,3.57
0.72,Ideal,H,VVS1,62.0,55.0,2958,5.74,5.77,3.57
0.79,Ideal,I,VS1,62.2,57.0,2958,5.89,5.94,3.68
0.72,Good,G,VS1,58.0,57.8,2958,5.85,5.87,3.4
0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
0.56,Very Good,D,VVS1,60.1,58.0,2959,5.36,5.42,3.24
0.7,Very Good,F,VS1,60.1,58.0,2959,5.73,5.79,3.46
0.79,Premium,G,VS2,62.3,58.0,2959,5.92,5.89,3.68
0.82,Ideal,I,SI1,61.8,55.0,2959,6.0,6.03,3.72
0.74,Fair,G,VVS2,65.2,58.0,2959,5.7,5.6,3.69
0.71,Very Good,H,VVS2,61.8,56.0,2960,5.7,5.73,3.53
0.7,Very Good,D,VS2,63.0,56.0,2960,5.61,5.69,3.56
0.7,Good,D,VS2,63.4,57.0,2960,5.6,5.67,3.57
0.7,Ideal,D,VS2,61.3,57.0,2960,5.72,5.76,3.52
0.76,Ideal,F,VS2,62.6,56.0,2960,5.82,5.78,3.63
0.72,Ideal,G,VS2,61.3,56.0,2960,5.77,5.81,3.55
0.64,Ideal,G,IF,61.7,58.0,2960,5.52,5.56,3.42
0.71,Good,F,VVS2,58.9,61.0,2960,5.8,5.9,3.44
0.74,Ideal,G,VS1,61.8,55.0,2960,5.85,5.8,3.6
0.77,Very Good,H,VS1,62.8,58.0,2961,5.75,5.78,3.62
0.74,Ideal,H,VVS2,61.2,57.0,2961,5.79,5.85,3.56
0.72,Premium,E,VS1,61.5,60.0,2961,5.79,5.75,3.55
0.73,Premium,F,VS1,61.9,56.0,2961,5.81,5.76,3.58
0.73,Premium,F,VS1,62.7,56.0,2961,5.75,5.73,3.6
0.63,Ideal,F,VVS2,62.3,56.0,2961,5.48,5.5,3.42
0.72,Ideal,H,VS1,61.1,57.0,2961,5.8,5.82,3.55
0.76,Ideal,E,SI1,60.6,57.0,2961,5.91,5.93,3.59
0.71,Premium,F,VS1,62.1,53.0,2961,5.77,5.7,3.56
0.75,Premium,H,VS1,61.9,61.0,2961,5.85,5.82,3.61
0.96,Premium,E,SI2,60.4,56.0,2961,6.32,6.23,3.79
0.63,Ideal,D,VVS2,62.6,56.0,2962,5.47,5.49,3.43
0.72,Ideal,E,VS2,62.0,56.0,2962,5.73,5.76,3.56
0.71,Ideal,G,VS1,62.2,56.0,2962,5.69,5.72,3.55
0.82,Premium,F,SI1,62.4,56.0,2962,6.01,5.98,3.74
0.71,Ideal,E,VS1,62.1,53.0,2963,5.76,5.73,3.57
0.91,Very Good,E,SI2,58.6,63.0,2963,6.38,6.32,3.72
0.71,Very Good,E,VS2,62.9,57.0,2964,5.68,5.7,3.58
0.71,Very Good,E,SI1,62.9,55.0,2964,5.64,5.68,3.56
0.71,Very Good,D,SI1,59.4,59.0,2964,5.78,5.81,3.44
0.7,Good,E,VS1,63.6,58.0,2964,5.61,5.56,3.55
0.7,Fair,E,VS1,64.5,57.0,2964,5.59,5.55,3.59
0.75,Ideal,E,SI1,61.7,56.0,2964,5.84,5.86,3.61
0.9,Fair,F,SI2,65.7,59.0,2964,6.03,5.99,3.95
0.9,Good,F,SI2,64.2,62.0,2964,6.08,6.0,3.88
0.9,Fair,J,VS1,65.4,60.0,2964,6.02,5.93,3.91
0.9,Premium,J,VS1,62.1,62.0,2964,6.12,6.05,3.78
1.0,Fair,G,SI1,65.7,54.0,2964,6.24,6.16,4.07
1.5,Fair,H,I1,65.6,54.0,2964,7.26,7.09,4.7
1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99
0.9,Fair,J,VS1,64.6,58.0,2964,6.12,6.06,3.93
0.71,Ideal,I,VS1,61.8,56.0,2965,5.68,5.72,3.52
0.71,Ideal,I,VS1,61.6,56.0,2965,5.71,5.75,3.53
0.71,Ideal,I,VS1,61.3,57.0,2965,5.73,5.76,3.52
0.71,Ideal,I,VS1,61.5,56.0,2965,5.72,5.76,3.52
0.7,Ideal,G,SI1,61.7,55.0,2965,5.7,5.73,3.53
0.7,Ideal,G,SI1,60.9,56.0,2965,5.73,5.79,3.51
0.73,Very Good,G,VS2,62.1,59.0,2966,5.68,5.73,3.54
0.85,Very Good,E,SI2,63.1,58.0,2966,6.02,6.0,3.79
0.7,Ideal,I,VVS1,61.8,56.0,2966,5.69,5.73,3.53
0.75,Ideal,F,SI1,61.2,55.0,2966,5.87,5.92,3.61
0.82,Ideal,F,SI2,60.9,57.0,2966,6.06,6.02,3.68
0.7,Very Good,E,VS1,61.3,56.0,2967,5.68,5.71,3.49
0.7,Very Good,E,VS1,61.5,56.0,2967,5.69,5.75,3.52
0.86,Very Good,G,SI2,62.6,56.0,2967,6.01,6.07,3.78
0.79,Ideal,H,VS2,62.0,56.0,2967,5.91,5.93,3.67
0.31,Premium,E,SI2,60.8,61.0,558,4.43,4.39,2.68
0.31,Premium,E,SI2,61.2,61.0,558,4.37,4.36,2.67
0.31,Ideal,G,SI2,61.4,55.0,558,4.39,4.37,2.69
0.3,Very Good,H,VVS2,62.0,56.0,559,4.28,4.3,2.66
0.31,Very Good,G,VS2,62.6,56.0,559,4.33,4.37,2.72
0.31,Very Good,G,VS2,61.4,55.0,559,4.38,4.41,2.69
0.31,Very Good,G,VS2,60.9,57.0,559,4.37,4.39,2.67
0.24,Ideal,G,VVS1,62.4,56.0,559,3.97,3.99,2.48
0.24,Ideal,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
0.24,Ideal,G,VVS1,62.2,56.0,559,4.0,4.04,2.5
0.24,Ideal,G,VVS1,62.0,55.0,559,4.01,4.03,2.49
0.24,Ideal,G,VVS1,62.0,56.0,559,3.97,4.01,2.47
0.32,Ideal,E,SI1,61.9,55.0,559,4.4,4.43,2.73
0.32,Ideal,E,SI1,61.0,56.0,559,4.41,4.45,2.7
0.24,Ideal,G,IF,61.7,56.0,559,3.99,4.01,2.47
0.24,Ideal,G,IF,60.8,58.0,559,4.01,4.05,2.44
0.24,Ideal,G,IF,61.8,55.0,559,3.99,4.02,2.47
0.24,Ideal,G,IF,61.6,57.0,559,3.99,4.02,2.46
0.24,Ideal,G,IF,61.3,57.0,559,4.0,4.03,2.46
0.32,Ideal,G,VS1,62.3,55.0,559,4.39,4.41,2.74
0.32,Ideal,G,VS1,61.8,55.0,559,4.42,4.45,2.74
0.25,Very Good,E,VVS2,62.0,56.0,560,4.05,4.08,2.52
0.25,Very Good,E,VVS1,61.5,56.0,560,4.06,4.08,2.5
0.25,Very Good,F,IF,61.5,56.0,560,4.04,4.06,2.48
0.27,Very Good,F,IF,60.4,58.0,560,4.18,4.2,2.53
0.32,Ideal,G,VS2,61.6,54.0,560,4.4,4.43,2.72
0.36,Ideal,F,SI1,61.6,56.0,560,4.57,4.62,2.83
0.41,Ideal,I,SI1,61.7,55.0,561,4.77,4.8,2.95
0.32,Premium,H,VS1,60.2,58.0,561,4.43,4.47,2.68
0.32,Ideal,H,VS1,61.5,57.0,561,4.4,4.42,2.71
0.75,Very Good,E,SI1,60.2,60.0,2968,5.89,5.93,3.56
0.92,Premium,H,SI1,59.2,60.0,2968,6.4,6.35,3.76
1.13,Fair,H,I1,64.8,59.0,2968,6.52,6.42,4.19
0.71,Premium,D,VS2,58.7,61.0,2968,5.88,5.85,3.44
1.06,Premium,I,SI2,61.5,57.0,2968,6.57,6.49,4.02
0.9,Ideal,G,SI2,62.4,57.0,2968,6.16,6.13,3.84
0.8,Ideal,G,VS2,61.2,57.0,2969,6.02,6.07,3.7
0.52,Premium,E,VVS2,60.1,58.0,2970,5.23,5.18,3.13
0.72,Very Good,G,VS1,60.6,56.0,2970,5.84,5.87,3.55
0.7,Good,F,VS1,63.8,58.0,2970,5.58,5.61,3.57
0.78,Premium,E,VS2,62.6,57.0,2970,5.91,5.85,3.68
0.78,Ideal,H,VS2,61.6,56.0,2970,5.94,5.91,3.64
1.04,Good,I,SI2,59.9,64.0,2970,6.51,6.45,3.88
0.91,Fair,F,SI1,64.9,57.0,2971,6.13,6.08,3.96
0.81,Very Good,E,SI1,63.8,58.0,2972,5.85,5.97,3.77
0.76,Ideal,G,VS1,59.4,57.0,2972,5.99,6.03,3.57
0.7,Ideal,G,VS1,61.7,56.0,2972,5.64,5.71,3.5
0.9,Very Good,H,SI2,63.1,60.0,2972,6.14,6.09,3.86
0.81,Premium,H,VS1,62.6,58.0,2972,5.96,5.9,3.71
0.9,Very Good,J,SI2,63.3,59.0,2973,6.08,6.12,3.86
0.75,Ideal,G,VS1,62.3,57.0,2973,5.83,5.86,3.64
0.77,Ideal,D,SI2,60.6,56.0,2973,5.9,5.95,3.59
0.7,Ideal,E,VS1,60.5,56.0,2973,5.74,5.79,3.49
0.81,Very Good,E,SI1,59.5,60.0,2973,6.05,6.09,3.61
0.7,Good,E,VS1,59.8,62.0,2973,5.74,5.8,3.45
0.82,Ideal,F,SI1,62.6,57.0,2974,5.96,6.02,3.75
0.57,Ideal,F,IF,61.8,54.0,2974,5.33,5.35,3.3
0.9,Good,H,SI1,64.2,60.0,2974,6.05,6.02,3.87
1.0,Fair,D,SI2,69.3,58.0,2974,5.96,5.87,4.1
0.71,Ideal,G,VS2,59.5,57.0,2974,5.81,5.8,3.46
0.7,Very Good,F,VS1,62.1,57.0,2975,5.69,5.72,3.54
0.7,Premium,F,VVS2,62.2,58.0,2975,5.72,5.66,3.54
0.82,Very Good,E,SI2,63.3,56.0,2975,5.99,5.95,3.78
0.8,Ideal,F,SI1,62.8,54.0,2975,5.9,5.97,3.74
0.83,Premium,G,SI1,61.6,59.0,2975,6.02,5.99,3.7
0.83,Ideal,H,VS2,61.3,54.0,2975,6.1,6.06,3.73
0.77,Premium,E,SI1,60.4,58.0,2975,6.0,5.88,3.59
0.79,Ideal,F,SI1,62.5,57.0,2976,5.88,5.92,3.69
0.72,Ideal,E,SI1,61.0,56.0,2976,5.82,5.85,3.56
0.91,Ideal,I,SI2,63.0,54.0,2976,6.17,6.12,3.86
0.71,Very Good,G,VVS2,60.8,58.0,2977,5.75,5.77,3.5
0.81,Ideal,F,SI1,61.9,57.0,2977,5.98,6.01,3.71
0.76,Premium,D,VS2,60.9,58.0,2977,5.9,5.85,3.58
0.54,Ideal,F,VVS1,61.6,55.0,2977,5.28,5.27,3.25
0.71,Ideal,G,VVS2,62.5,58.0,2978,5.7,5.73,3.57
0.7,Ideal,E,VS1,61.3,54.0,2978,5.77,5.83,3.54
0.8,Ideal,E,SI2,61.0,55.0,2978,6.0,6.03,3.67
0.76,Ideal,E,SI2,62.1,56.0,2978,5.85,5.88,3.64
0.72,Ideal,H,VVS1,59.9,59.0,2979,5.76,5.82,3.47
0.7,Ideal,E,VS2,61.7,56.0,2979,5.74,5.71,3.53
0.86,Premium,F,SI2,61.8,58.0,2980,6.12,6.15,3.79
0.7,Ideal,E,VS2,61.5,57.0,2980,5.67,5.78,3.52
0.7,Good,D,SI1,61.3,61.0,2980,5.63,5.69,3.47
0.64,Good,F,IF,58.6,61.0,2980,5.69,5.71,3.34
0.7,Ideal,E,VS2,62.2,55.0,2981,5.67,5.71,3.54
0.91,Premium,I,SI2,60.2,59.0,2981,6.29,6.24,3.77
0.91,Ideal,I,SI2,61.6,57.0,2981,6.24,6.23,3.84
0.9,Good,E,SI2,58.7,63.0,2982,6.2,6.23,3.65
0.71,Ideal,G,VVS1,61.7,57.0,2982,5.7,5.75,3.53
0.9,Fair,E,SI2,65.8,59.0,2982,6.03,5.98,3.95
0.71,Ideal,E,VS2,59.5,57.0,2982,5.86,5.83,3.48
0.71,Very Good,G,VS1,60.8,63.0,2982,5.76,5.68,3.48
0.71,Premium,E,VS2,62.6,58.0,2982,5.72,5.68,3.57
0.74,Ideal,E,VS2,62.7,54.0,2984,5.8,5.77,3.63
0.9,Very Good,J,VS2,63.1,57.0,2984,6.12,6.06,3.84
1.0,Premium,G,I1,62.5,62.0,2984,6.42,6.35,3.99
0.7,Very Good,D,VS2,63.1,56.0,2985,5.62,5.69,3.57
0.75,Ideal,E,SI1,62.2,57.0,2985,5.82,5.86,3.63
0.82,Premium,H,VS1,62.3,60.0,2985,5.97,5.94,3.71
0.77,Very Good,G,VS1,62.8,58.0,2986,5.78,5.84,3.65
