Patron Type,Age Range,Home Library,Active Date,Checkouts,Renewals,Notice Preference,Year Patron Registered,Outside of County
ADULT,55 to 59 years,Parkside,2016-07-01,43,8,email,2014,False
ADULT,45 to 54 years,Main Library,2009-07-01,5,0,email,2005,False
ADULT,55 to 59 years,Main Library,2014-02-01,32,0,email,2013,False
ADULT,10 to 19 years,Anza,2016-06-01,8,7,email,2014,False
ADULT,20 to 24 years,Chinatown,2016-07-01,956,503,phone,2006,True
ADULT,20 to 24 years,Chinatown,2015-08-01,257,88,email,2003,False
JUVENILE,0 to 9 years,Western Addition,2013-08-01,73,27,email,2013,False
ADULT,25 to 34 years,Main Library,2013-05-01,41,56,email,2011,True
ADULT,45 to 54 years,Main Library,,0,0,email,2014,False
ADULT,20 to 24 years,Mission Bay,2016-03-01,12,0,email,2015,False
ADULT,35 to 44 years,West Portal,2014-02-01,8,7,email,2010,False
ADULT,45 to 54 years,Main Library,2016-06-01,1260,388,phone,2003,False
JUVENILE,10 to 19 years,Richmond,2016-05-01,63,2,email,2012,False
ADULT,10 to 19 years,Unknown,2016-01-01,38,1,email,2015,False
ADULT,10 to 19 years,Chinatown,2015-10-01,291,1,phone,2011,False
VISITOR,45 to 54 years,Mission Bay,2015-12-01,60,19,email,2013,True
ADULT,55 to 59 years,Potrero,2016-07-01,264,534,email,2003,False
WELCOME,25 to 34 years,Bayview/Linda Brooks-Burton,,0,0,print,2015,False
SENIOR,75 years and over,Main Library,,0,0,email,2015,True
ADULT,25 to 34 years,Potrero,2016-02-01,2,0,email,2014,False
SENIOR,65 to 74 years,Main Library,,0,0,email,2013,True
ADULT,60 to 64 years,Main Library,2015-05-01,1,0,phone,2015,False
ADULT,35 to 44 years,Main Library,2015-09-01,5,1,phone,2008,False
JUVENILE,0 to 9 years,Main Library,2016-01-01,172,3,phone,2012,False
ADULT,20 to 24 years,Excelsior,2016-03-01,1623,339,email,2003,False
WELCOME,25 to 34 years,Main Library,2015-10-01,1,0,email,2015,False
JUVENILE,0 to 9 years,Richmond,2016-07-01,217,2,email,2015,False
ADULT,35 to 44 years,Main Library,2015-02-01,1,0,email,2009,True
JUVENILE,0 to 9 years,Marina,2016-06-01,8,0,email,2016,False
ADULT,55 to 59 years,Chinatown,2016-07-01,124,24,phone,2003,False
ADULT,25 to 34 years,Bernal Heights,2016-07-01,21,42,email,2016,False
ADULT,35 to 44 years,Mission Bay,2013-11-01,2,5,email,2008,False
JUVENILE,10 to 19 years,Richmond,2016-06-01,164,1,phone,2010,False
ADULT,25 to 34 years,Main Library,2016-04-01,1,2,email,2016,True
YOUNG ADULT,10 to 19 years,Bernal Heights,2014-07-01,452,361,email,2003,False
JUVENILE,10 to 19 years,Parkside,2016-07-01,45,1,email,2016,False
ADULT,25 to 34 years,Ingleside,2015-07-01,142,28,email,2012,False
YOUNG ADULT,10 to 19 years,Main Library,2016-05-01,54,17,print,2016,False
ADULT,10 to 19 years,Main Library,,0,0,email,2013,True
ADULT,25 to 34 years,Main Library,2014-03-01,3,0,email,2008,False
ADULT,25 to 34 years,Main Library,2016-03-01,9,18,email,2012,False
WELCOME,35 to 44 years,Potrero,,0,0,email,2015,False
ADULT,25 to 34 years,Sunset,2016-05-01,20,59,email,2012,False
ADULT,25 to 34 years,Main Library,2014-12-01,2,2,email,2013,False
JUVENILE,0 to 9 years,Presidio,2016-07-01,20,0,email,2016,False
ADULT,45 to 54 years,Potrero,2016-05-01,5,0,email,2011,False
ADULT,35 to 44 years,Main Library,,0,0,email,2013,True
ADULT,35 to 44 years,Potrero,2013-12-01,4,0,email,2012,False
ADULT,25 to 34 years,Ingleside,2014-12-01,60,1,email,2008,False
ADULT,35 to 44 years,Main Library,2008-07-01,6,0,email,2005,False
SENIOR,65 to 74 years,Presidio,2016-07-01,38,17,email,2009,True
TEACHER CARD,25 to 34 years,Noe Valley/Sally Brunn,2015-02-01,2,0,email,2014,False
ADULT,45 to 54 years,Excelsior,2015-09-01,1,0,email,2015,False
ADULT,35 to 44 years,Mission,2013-08-01,19,29,email,2010,False
ADULT,60 to 64 years,Main Library,2015-10-01,1137,12,print,2013,False
JUVENILE,10 to 19 years,Presidio,2016-06-01,269,10,email,2008,False
ADULT,55 to 59 years,Chinatown,2015-10-01,2335,4615,phone,2003,True
JUVENILE,0 to 9 years,Western Addition,2013-11-01,5,0,email,2013,False
JUVENILE,10 to 19 years,Ortega,2016-03-01,257,161,email,2007,False
ADULT,25 to 34 years,Main Library,2016-07-01,307,94,email,2004,False
ADULT,20 to 24 years,Main Library,,0,0,email,2016,False
ADULT,25 to 34 years,Glen Park,2016-07-01,7,0,email,2016,False
YOUNG ADULT,10 to 19 years,West Portal,2016-06-01,837,277,email,2003,False
SENIOR,65 to 74 years,Chinatown,2016-07-01,1243,253,phone,2003,False
ADULT,20 to 24 years,North Beach,2015-03-01,1621,284,phone,2003,False
ADULT,35 to 44 years,Ingleside,2016-05-01,128,2,phone,2009,False
ADULT,45 to 54 years,Mission Bay,2016-06-01,1506,370,email,2003,False
ADULT,25 to 34 years,Main Library,2015-01-01,16,2,email,2004,True
ADULT,45 to 54 years,Sunset,2013-07-01,369,119,email,2003,False
JUVENILE,10 to 19 years,Visitacion Valley,2016-06-01,1821,83,phone,2009,False
YOUNG ADULT,10 to 19 years,Ortega,2016-07-01,75,27,email,2006,False
ADULT,25 to 34 years,Mission Bay,2016-05-01,3,8,email,2016,False
JUVENILE,0 to 9 years,Mission,2016-01-01,178,126,phone,2009,False
ADULT,45 to 54 years,Main Library,2014-09-01,0,0,email,2014,True
ADULT,25 to 34 years,Mission,2016-02-01,8,18,email,2013,False
ADULT,35 to 44 years,Main Library,,0,0,email,2012,False
ADULT,45 to 54 years,Sunset,2014-05-01,16,0,phone,2010,False
ADULT,60 to 64 years,Parkside,2016-02-01,8,8,email,2003,False
YOUNG ADULT,10 to 19 years,Excelsior,2014-10-01,59,1,email,2014,False
ADULT,55 to 59 years,Park,2016-06-01,8,3,phone,2013,False
ADULT,35 to 44 years,Mission,2016-03-01,4000,1420,phone,2003,False
SENIOR,65 to 74 years,Sunset,2016-05-01,2234,993,email,2003,False
JUVENILE,0 to 9 years,Western Addition,2016-06-01,33,15,email,2013,False
YOUNG ADULT,10 to 19 years,Richmond,2015-04-01,74,20,email,2014,False
JUVENILE,0 to 9 years,Mission Bay,2016-07-01,80,12,phone,2015,False
JUVENILE,10 to 19 years,Excelsior,2016-07-01,539,6,print,2009,False
SENIOR,65 to 74 years,Noe Valley/Sally Brunn,2016-07-01,96,18,email,2003,False
ADULT,60 to 64 years,Main Library,2015-05-01,3,0,email,2015,True
ADULT,35 to 44 years,Main Library,2013-11-01,16,6,email,2007,False
ADULT,25 to 34 years,Mission,2016-06-01,61,72,email,2008,False
ADULT,55 to 59 years,Chinatown,2014-03-01,343,288,email,2003,False
JUVENILE,0 to 9 years,Portola,2014-10-01,3,0,phone,2014,False
ADULT,45 to 54 years,Marina,2014-01-01,6,0,email,2014,False
ADULT,25 to 34 years,Golden Gate Valley,2014-06-01,7,3,email,2013,True
ADULT,35 to 44 years,Western Addition,2016-06-01,33,62,phone,2011,False
ADULT,45 to 54 years,Mission,2016-07-01,540,912,email,2003,False
ADULT,35 to 44 years,Main Library,2012-12-01,1,1,email,2012,False
ADULT,60 to 64 years,Mission,2013-11-01,92,63,email,2003,False
ADULT,25 to 34 years,Main Library,,0,0,phone,2014,False
ADULT,45 to 54 years,Main Library,2016-03-01,1,0,email,2016,False
ADULT,45 to 54 years,Ingleside,2012-06-01,25,0,email,2012,False
YOUNG ADULT,10 to 19 years,Excelsior,2015-03-01,34,2,phone,2014,False
ADULT,55 to 59 years,Marina,2016-07-01,521,290,email,2003,False
ADULT,35 to 44 years,Chinatown,2013-08-01,3,0,print,2013,False
ADULT,25 to 34 years,Main Library,2014-04-01,1,0,email,2014,True
ADULT,25 to 34 years,Eureka Valley/Harvey Milk Memorial,2016-06-01,12,2,email,2015,False
WELCOME,25 to 34 years,Main Library,,0,0,email,2015,False
ADULT,45 to 54 years,Chinatown,2016-04-01,16,0,email,2015,False
JUVENILE,10 to 19 years,Noe Valley/Sally Brunn,2015-05-01,103,46,email,2010,False
ADULT,20 to 24 years,Richmond,2016-05-01,4,2,email,2015,False
YOUNG ADULT,10 to 19 years,Sunset,2016-03-01,137,23,email,2013,False
SENIOR,65 to 74 years,West Portal,2016-07-01,163,48,email,2003,False
JUVENILE,10 to 19 years,West Portal,2016-07-01,767,1455,email,2010,False
ADULT,25 to 34 years,Main Library,2014-06-01,76,20,email,2013,False
ADULT,35 to 44 years,Mission,2015-12-01,39,22,email,2006,False
ADULT,55 to 59 years,Main Library,2016-01-01,189,201,email,2003,False
JUVENILE,10 to 19 years,Main Library,2015-08-01,65,7,email,2008,False
ADULT,35 to 44 years,Ingleside,,0,0,email,2014,False
WELCOME,45 to 54 years,Main Library,2015-03-01,3,3,email,2014,True
SENIOR,65 to 74 years,Main Library,2014-02-01,34,51,print,2004,False
ADULT,45 to 54 years,Main Library,2016-04-01,1648,279,phone,2003,False
ADULT,25 to 34 years,Main Library,2010-12-01,4,5,print,2009,False
ADULT,45 to 54 years,Main Library,,0,0,email,2012,False
ADULT,35 to 44 years,Main Library,2015-10-01,173,301,email,2005,False
YOUNG ADULT,10 to 19 years,Mission,2013-03-01,8,0,print,2013,False
ADULT,55 to 59 years,Main Library,,0,0,email,2016,False
DIGITAL ACCESS CARD,25 to 34 years,Main Library,,0,0,email,2015,False
JUVENILE,0 to 9 years,Bernal Heights,2014-06-01,26,1,phone,2011,False
SENIOR,65 to 74 years,Merced,2016-07-01,489,23,phone,2004,False
YOUNG ADULT,10 to 19 years,Chinatown,2016-07-01,117,40,phone,2007,False
ADULT,35 to 44 years,Sunset,2015-06-01,280,154,email,2003,False
JUVENILE,0 to 9 years,Mission,2014-03-01,36,0,email,2013,False
ADULT,60 to 64 years,Potrero,2016-06-01,0,0,email,2011,False
ADULT,35 to 44 years,Marina,2013-12-01,6,6,phone,2013,False
ADULT,55 to 59 years,Main Library,2016-04-01,3,2,email,2014,True
ADULT,45 to 54 years,Richmond,2014-01-01,1,5,email,2013,True
ADULT,35 to 44 years,Sunset,2016-07-01,124,65,email,2008,False
ADULT,25 to 34 years,Main Library,,0,0,email,2015,False
ADULT,45 to 54 years,Unknown,2016-01-01,141,115,email,2009,False
WELCOME,35 to 44 years,Mission Bay,2014-09-01,1,0,phone,2014,False
ADULT,25 to 34 years,Richmond,2016-03-01,54,33,email,2014,False
JUVENILE,10 to 19 years,Main Library,2016-07-01,522,10,phone,2011,False
ADULT,35 to 44 years,Eureka Valley/Harvey Milk Memorial,2014-11-01,1,1,email,2014,False
ADULT,20 to 24 years,Bayview/Linda Brooks-Burton,2015-05-01,30,0,phone,2013,False
YOUNG ADULT,10 to 19 years,Excelsior,2015-10-01,15,0,print,2015,False
YOUNG ADULT,10 to 19 years,Anza,2015-07-01,193,2,email,2006,False
ADULT,45 to 54 years,Main Library,2015-07-01,824,24,email,2003,False
JUVENILE,10 to 19 years,Ingleside,2014-03-01,44,0,phone,2009,False
ADULT,20 to 24 years,Merced,2016-03-01,1,0,email,2016,True
JUVENILE,0 to 9 years,Portola,2016-07-01,26,0,email,2015,False
YOUNG ADULT,10 to 19 years,Main Library,2015-06-01,35,8,phone,2010,False
ADULT,35 to 44 years,Richmond,2016-06-01,189,178,email,2011,False
JUVENILE,0 to 9 years,Main Library,2012-08-01,5,0,email,2012,False
ADULT,10 to 19 years,Visitacion Valley,2014-04-01,1,0,email,2013,False
ADULT,25 to 34 years,Eureka Valley/Harvey Milk Memorial,2016-01-01,84,48,email,2006,False
ADULT,60 to 64 years,Bernal Heights,2016-03-01,23,3,print,2015,False
WELCOME,25 to 34 years,Bernal Heights,,0,0,email,2015,False
YOUNG ADULT,10 to 19 years,West Portal,2015-07-01,988,338,email,2006,False
ADULT,35 to 44 years,Potrero,2015-03-01,3,12,phone,2013,False
ADULT,25 to 34 years,Merced,,0,0,email,2016,False
ADULT,10 to 19 years,Presidio,2016-05-01,0,0,print,2016,False
ADULT,25 to 34 years,Main Library,2013-12-01,62,2,email,2007,False
ADULT,60 to 64 years,Main Library,2015-02-01,93,64,email,2003,True
ADULT,25 to 34 years,Potrero,,0,0,email,2015,False
SENIOR,65 to 74 years,Main Library,2014-11-01,109,26,email,2003,False
JUVENILE,0 to 9 years,Main Library,2016-06-01,73,7,email,2015,False
ADULT,55 to 59 years,West Portal,2015-04-01,49,49,email,2003,False
ADULT,25 to 34 years,Western Addition,,0,0,email,2014,False
JUVENILE,0 to 9 years,Bayview/Linda Brooks-Burton,,0,0,email,2014,False
SENIOR,65 to 74 years,Sunset,2014-04-01,115,7,phone,2009,False
ADULT,35 to 44 years,Main Library,2016-03-01,85,117,email,2015,False
SENIOR,75 years and over,Western Addition,2016-07-01,493,56,email,2003,False
YOUNG ADULT,10 to 19 years,North Beach,2016-01-01,46,9,print,2013,False
ADULT,35 to 44 years,Parkside,2015-09-01,32,27,email,2012,False
JUVENILE,0 to 9 years,Merced,2016-07-01,7,4,email,2016,False
ADULT,55 to 59 years,Main Library,2014-11-01,194,90,email,2005,False
ADULT,45 to 54 years,Main Library,,0,0,email,2012,False
ADULT,45 to 54 years,Ortega,2016-07-01,346,164,email,2006,False
ADULT,25 to 34 years,Anza,2016-07-01,326,303,email,2011,False
ADULT,55 to 59 years,Main Library,2013-03-01,0,0,email,2013,True
ADULT,55 to 59 years,Ingleside,2016-03-01,159,29,email,2003,False
ADULT,35 to 44 years,Main Library,2014-02-01,2,0,email,2014,False
ADULT,45 to 54 years,Main Library,,0,0,print,2014,False
ADULT,45 to 54 years,Main Library,2013-12-01,23,7,print,2012,False
JUVENILE,0 to 9 years,Excelsior,2014-07-01,94,0,email,2010,False
ADULT,35 to 44 years,Ortega,2016-04-01,201,208,email,2003,False
ADULT,55 to 59 years,Excelsior,,0,0,phone,2014,False
ADULT,25 to 34 years,Sunset,2016-02-01,3,0,email,2016,False
WELCOME,20 to 24 years,Presidio,,0,0,email,2015,False
ADULT,35 to 44 years,Portola,2015-04-01,12,0,email,2014,False
ADULT,25 to 34 years,Noe Valley/Sally Brunn,2016-02-01,12,3,email,2015,True
ADULT,25 to 34 years,Main Library,2012-08-01,4,0,phone,2012,False
ADULT,25 to 34 years,Mission Bay,2016-07-01,94,56,email,2016,False
ADULT,35 to 44 years,Main Library,2015-08-01,43,25,email,2006,True
ADULT,25 to 34 years,Parkside,,0,0,phone,2013,False
ADULT,35 to 44 years,Mission Bay,2016-06-01,37,16,email,2011,False
ADULT,20 to 24 years,Main Library,,0,0,print,2015,False
YOUNG ADULT,10 to 19 years,Sunset,2016-07-01,1132,299,email,2003,False
SENIOR,60 to 64 years,Main Library,2013-05-01,0,0,email,2013,False
ADULT,10 to 19 years,Richmond,2013-07-01,9,2,phone,2011,False
ADULT,20 to 24 years,Merced,2016-07-01,5,0,email,2016,True
SENIOR,65 to 74 years,Noe Valley/Sally Brunn,2016-07-01,12,1,email,2003,False
ADULT,60 to 64 years,Sunset,2014-05-01,190,50,email,2003,False
ADULT,25 to 34 years,Park,2014-05-01,30,3,email,2010,False
ADULT,45 to 54 years,Main Library,2016-07-01,76,49,phone,2015,False
WELCOME,45 to 54 years,Main Library,2015-03-01,1,0,phone,2015,False
ADULT,35 to 44 years,Main Library,2015-06-01,14,9,email,2009,False
ADULT,20 to 24 years,Bayview/Linda Brooks-Burton,,0,0,phone,2016,True
JUVENILE,10 to 19 years,Excelsior,2016-02-01,10,40,email,2011,False
JUVENILE,0 to 9 years,Mission,2016-04-01,168,30,print,2008,False
ADULT,35 to 44 years,Main Library,2012-11-01,3,0,phone,2012,False
ADULT,25 to 34 years,Main Library,2014-05-01,19,54,email,2014,False
YOUNG ADULT,10 to 19 years,Excelsior,2007-03-01,4,0,email,2006,False
ADULT,25 to 34 years,Ortega,2014-04-01,18,2,email,2003,False
ADULT,55 to 59 years,West Portal,2015-09-01,41,17,email,2008,False
ADULT,20 to 24 years,Main Library,2013-08-01,2,0,phone,2013,False
SENIOR,75 years and over,Main Library,,0,0,phone,2012,True
ADULT,20 to 24 years,Main Library,2016-07-01,14,8,email,2015,False
YOUNG ADULT,10 to 19 years,Eureka Valley/Harvey Milk Memorial,,0,0,print,2013,False
WELCOME,25 to 34 years,Main Library,,0,0,email,2014,False
YOUNG ADULT,10 to 19 years,Chinatown,2012-08-01,10,5,email,2012,True
SENIOR,65 to 74 years,Eureka Valley/Harvey Milk Memorial,2015-12-01,78,40,email,2010,False
ADULT,45 to 54 years,West Portal,2016-03-01,2,2,email,2012,False
ADULT,45 to 54 years,Portola,2016-01-01,133,10,email,2009,False
ADULT,25 to 34 years,Main Library,2016-07-01,277,451,email,2009,True
ADULT,35 to 44 years,Main Library,2015-01-01,135,14,email,2003,False
SENIOR,65 to 74 years,Golden Gate Valley,2015-08-01,3,0,email,2015,False
ADULT,35 to 44 years,Noe Valley/Sally Brunn,,0,0,email,2016,False
ADULT,60 to 64 years,Main Library,2016-04-01,416,739,phone,2004,False
SENIOR,75 years and over,Main Library,2014-05-01,227,151,phone,2004,False
ADULT,35 to 44 years,Bayview/Linda Brooks-Burton,2016-07-01,53,4,email,2015,False
ADULT,25 to 34 years,Main Library,2013-12-01,14,1,email,2012,False
ADULT,45 to 54 years,Parkside,2015-11-01,563,39,phone,2003,False
ADULT,20 to 24 years,Mission,2014-09-01,40,3,email,2007,False
TEACHER CARD,35 to 44 years,Main Library,,0,0,email,2016,False
ADULT,25 to 34 years,Sunset,2013-12-01,34,12,email,2010,True
YOUNG ADULT,10 to 19 years,Main Library,2015-12-01,33,4,print,2008,False
ADULT,35 to 44 years,Main Library,,0,0,email,2015,True
WELCOME,45 to 54 years,Excelsior,2013-08-01,23,0,email,2013,True
ADULT,25 to 34 years,Park,2015-02-01,4,0,email,2013,False
SENIOR,75 years and over,Anza,2015-06-01,11,0,email,2003,False
ADULT,25 to 34 years,Glen Park,2015-06-01,19,4,phone,2014,False
AT USER ADULT,35 to 44 years,Main Library,2013-08-01,49,0,email,2013,False
ADULT,25 to 34 years,Main Library,2015-12-01,93,126,email,2013,False
ADULT,55 to 59 years,Noe Valley/Sally Brunn,2016-02-01,508,374,email,2003,False
ADULT,45 to 54 years,Main Library,2015-07-01,194,58,email,2003,False
ADULT,10 to 19 years,Visitacion Valley,2016-05-01,66,0,phone,2009,False
ADULT,45 to 54 years,Marina,2016-02-01,279,8,phone,2003,True
ADULT,35 to 44 years,Sunset,2015-04-01,8,10,email,2014,False
ADULT,20 to 24 years,Bernal Heights,2015-06-01,640,598,email,2003,False
ADULT,25 to 34 years,Eureka Valley/Harvey Milk Memorial,2013-09-01,128,9,email,2008,False
ADULT,10 to 19 years,Richmond,2016-06-01,188,23,email,2003,False
ADULT,25 to 34 years,Main Library,2015-09-01,14,31,email,2011,False
ADULT,20 to 24 years,Excelsior,2016-07-01,402,50,print,2003,False
ADULT,35 to 44 years,Bayview/Linda Brooks-Burton,2015-12-01,4,0,phone,2015,False
JUVENILE,10 to 19 years,Presidio,2016-07-01,487,38,email,2011,False
ADULT,25 to 34 years,Main Library,2014-12-01,1,0,email,2014,True
WELCOME,35 to 44 years,Mission,,0,0,email,2016,False
WELCOME,25 to 34 years,Mission,,0,0,email,2013,True
ADULT,35 to 44 years,Mission,2014-04-01,200,111,email,2012,False
ADULT,35 to 44 years,Presidio,2016-07-01,138,121,email,2004,False
ADULT,35 to 44 years,Mission Bay,2014-02-01,132,4,email,2012,False
YOUNG ADULT,10 to 19 years,Richmond,2012-08-01,0,0,phone,2012,False
JUVENILE,0 to 9 years,Sunset,2016-02-01,9,0,print,2014,False
ADULT,25 to 34 years,Main Library,2014-07-01,34,0,email,2014,True
JUVENILE,10 to 19 years,Parkside,2016-01-01,301,113,email,2008,False
SENIOR,75 years and over,Richmond,2016-07-01,167,50,email,2003,False
ADULT,35 to 44 years,West Portal,2016-01-01,74,9,email,2015,False
ADULT,35 to 44 years,Ortega,2013-03-01,13,0,email,2012,False
ADULT,45 to 54 years,Anza,2015-11-01,76,33,email,2003,False
ADULT,55 to 59 years,Golden Gate Valley,2014-12-01,9,3,email,2014,False
TEACHER CARD,55 to 59 years,West Portal,2016-07-01,29,9,email,2014,False
ADULT,55 to 59 years,Mission Bay,2016-05-01,21,8,email,2010,False
SENIOR,75 years and over,Merced,2016-03-01,51,1,email,2003,False
ADULT,25 to 34 years,Bayview/Linda Brooks-Burton,2014-03-01,14,1,email,2005,False
ADULT,45 to 54 years,West Portal,2014-08-01,38,0,email,2008,False
ADULT,35 to 44 years,Sunset,2016-07-01,2,0,email,2015,False
ADULT,60 to 64 years,Chinatown,2016-07-01,1397,637,phone,2006,False
ADULT,35 to 44 years,Mission,2015-06-01,11,1,email,2015,False
ADULT,35 to 44 years,Mission Bay,2013-12-01,12,0,email,2010,False
ADULT,35 to 44 years,Main Library,2014-10-01,30,36,email,2003,False
ADULT,20 to 24 years,Richmond,2015-08-01,0,0,email,2015,False
JUVENILE,0 to 9 years,Presidio,2016-07-01,386,114,email,2010,False
SENIOR,75 years and over,Richmond,2016-06-01,1980,83,phone,2003,False
JUVENILE,0 to 9 years,Marina,2016-07-01,51,13,email,2012,False
ADULT,35 to 44 years,Eureka Valley/Harvey Milk Memorial,2014-07-01,20,4,email,2011,False
JUVENILE,10 to 19 years,Visitacion Valley,2016-07-01,55,3,email,2012,False
JUVENILE,0 to 9 years,Glen Park,,0,0,email,2014,False
WELCOME,25 to 34 years,Mission,2015-05-01,0,0,email,2014,True
SENIOR,65 to 74 years,Main Library,2010-09-01,0,0,email,2010,True
YOUNG ADULT,10 to 19 years,Marina,2013-07-01,2,0,email,2013,False
ADULT,25 to 34 years,Marina,2016-05-01,6,0,email,2015,False
ADULT,25 to 34 years,Main Library,2016-05-01,63,41,email,2012,False
ADULT,35 to 44 years,Main Library,2016-07-01,71,0,phone,2016,False
SENIOR,65 to 74 years,Main Library,2014-04-01,113,11,phone,2003,True
SENIOR,65 to 74 years,Chinatown,2016-07-01,85,5,email,2003,False
ADULT,20 to 24 years,Ingleside,2015-01-01,981,217,email,2003,False
JUVENILE,10 to 19 years,Glen Park,2015-12-01,28,4,print,2011,False
ADULT,60 to 64 years,Chinatown,,0,0,email,2014,True
SENIOR,65 to 74 years,Main Library,2015-03-01,192,121,email,2003,False
JUVENILE,0 to 9 years,Main Library,2014-05-01,1,0,email,2014,False
ADULT,25 to 34 years,Excelsior,2016-07-01,7,15,email,2015,False
SPECIAL,60 to 64 years,Main Library,2016-07-01,3,3,phone,2014,False
ADULT,10 to 19 years,Mission Bay,,0,0,email,2015,False
ADULT,55 to 59 years,Main Library,2016-07-01,112,133,email,2003,False
ADULT,20 to 24 years,Main Library,2015-10-01,2,0,email,2015,True
ADULT,25 to 34 years,Main Library,2014-10-01,9,0,email,2013,False
ADULT,25 to 34 years,Glen Park,2016-07-01,17,13,email,2012,False
ADULT,25 to 34 years,Richmond,2013-07-01,46,0,email,2012,False
ADULT,35 to 44 years,Main Library,2014-03-01,1,0,email,2014,True
ADULT,35 to 44 years,Golden Gate Valley,,0,0,email,2015,False
ADULT,55 to 59 years,Main Library,2006-04-01,222,12,print,2003,False
ADULT,35 to 44 years,Chinatown,2015-02-01,73,0,email,2008,False
JUVENILE,10 to 19 years,North Beach,2016-02-01,11,2,email,2011,False
SENIOR,65 to 74 years,Main Library,2016-05-01,128,1,phone,2005,False
JUVENILE,0 to 9 years,Main Library,2016-07-01,134,0,print,2014,False
SPECIAL,55 to 59 years,Children's Bookmobile,2016-05-01,3567,1073,email,2008,False
ADULT,25 to 34 years,Main Library,,0,0,phone,2012,True
ADULT,60 to 64 years,Glen Park,2013-12-01,197,22,email,2003,False
SENIOR,65 to 74 years,Chinatown,2016-07-01,3909,10,phone,2003,False
ADULT,25 to 34 years,Western Addition,2016-07-01,95,8,phone,2008,False
ADULT,20 to 24 years,Ortega,2015-11-01,989,303,email,2003,False
ADULT,25 to 34 years,Visitacion Valley,2013-02-01,7,0,email,2012,False
ADULT,25 to 34 years,Main Library,2013-12-01,31,8,email,2009,False
SENIOR,75 years and over,Richmond,2015-08-01,26,0,print,2003,False
ADULT,25 to 34 years,Main Library,2015-03-01,70,107,email,2010,True
ADULT,25 to 34 years,Main Library,2016-03-01,69,84,email,2011,False
JUVENILE,0 to 9 years,Potrero,2015-06-01,99,57,email,2014,False
YOUNG ADULT,10 to 19 years,Main Library,2016-06-01,4,0,email,2014,False
JUVENILE,0 to 9 years,Ingleside,2014-05-01,103,5,email,2010,False
ADULT,20 to 24 years,Main Library,2016-01-01,6,8,email,2015,False
ADULT,55 to 59 years,Richmond,2012-08-01,9,0,email,2011,False
ADULT,45 to 54 years,Excelsior,2016-06-01,9,0,email,2006,False
JUVENILE,0 to 9 years,Eureka Valley/Harvey Milk Memorial,2015-11-01,55,4,email,2014,False
YOUNG ADULT,10 to 19 years,Portola,2015-08-01,489,7,phone,2009,False
ADULT,45 to 54 years,North Beach,,0,0,email,2012,False
ADULT,45 to 54 years,Bernal Heights,2016-06-01,476,42,phone,2003,False
YOUNG ADULT,10 to 19 years,North Beach,2014-04-01,5,0,email,2013,False
JUVENILE,10 to 19 years,Sunset,2012-11-01,2,0,email,2012,False
ADULT,25 to 34 years,Mission,2013-09-01,67,0,print,2013,True
ADULT,20 to 24 years,Unknown,2016-01-01,1,0,email,2015,False
ADULT,35 to 44 years,Main Library,,0,0,print,2015,False
ADULT,55 to 59 years,Parkside,2014-06-01,409,0,phone,2010,False
ADULT,35 to 44 years,Ortega,2016-04-01,286,6,email,2009,False
SENIOR,65 to 74 years,Mission,2013-10-01,0,0,email,2013,True
JUVENILE,10 to 19 years,Main Library,2016-07-01,109,6,phone,2014,False
ADULT,35 to 44 years,Main Library,2009-01-01,2,0,email,2008,False
JUVENILE,10 to 19 years,Mission,2016-06-01,39,6,phone,2012,False
ADULT,,Main Library,,0,0,email,2013,True
YOUNG ADULT,10 to 19 years,Glen Park,2014-11-01,128,37,phone,2009,False
JUVENILE,0 to 9 years,Bernal Heights,,0,0,email,2014,False
ADULT,35 to 44 years,Bayview/Linda Brooks-Burton,2014-02-01,16,0,email,2003,False
SENIOR,65 to 74 years,Glen Park,,0,0,phone,2014,True
YOUNG ADULT,10 to 19 years,Potrero,2016-03-01,172,18,phone,2013,False
ADULT,20 to 24 years,Mission,2016-07-01,226,118,email,2003,False
SENIOR,65 to 74 years,Excelsior,2015-04-01,165,22,phone,2006,False
ADULT,20 to 24 years,Main Library,,0,0,email,2013,True
ADULT,25 to 34 years,Sunset,,0,0,email,2012,False
ADULT,35 to 44 years,Anza,2015-12-01,133,72,email,2003,False
YOUNG ADULT,10 to 19 years,Potrero,2014-02-01,115,1,print,2010,False
ADULT,35 to 44 years,Bernal Heights,2016-03-01,75,1,email,2010,False
ADULT,20 to 24 years,Main Library,2016-06-01,3,4,email,2015,False
ADULT,60 to 64 years,Main Library,2016-06-01,2,0,email,2011,True
SENIOR,65 to 74 years,Main Library,2005-05-01,3,0,email,2003,False
JUVENILE,10 to 19 years,Western Addition,2014-10-01,178,117,email,2010,True
ADULT,55 to 59 years,Richmond,,0,0,email,2012,True
ADULT,35 to 44 years,Richmond,2014-02-01,24,0,email,2011,False
SENIOR,75 years and over,Marina,2016-06-01,48,1,phone,2003,False
JUVENILE,0 to 9 years,Chinatown,,0,0,print,2013,False
ADULT,60 to 64 years,Main Library,,0,0,print,2013,False
ADULT,25 to 34 years,Mission,2016-07-01,2876,4195,phone,2007,True
YOUNG ADULT,10 to 19 years,Main Library,2015-03-01,4,0,email,2015,False
ADULT,60 to 64 years,Marina,2014-04-01,1695,900,phone,2008,False
ADULT,25 to 34 years,Parkside,2010-12-01,1,0,email,2010,False
